Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,4/14/19,24
DOING JUSTICE,Preet Bharara,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,4/14/19,2
SHORTEST WAY HOME,Pete Buttigieg,Liveright,Norton,9.78E+12,Hardcover Nonfiction,4/14/19,3
SAY NOTHING,Patrick Radden Keefe,Doubleday,Penguin Random House,9.78E+12,Hardcover Nonfiction,4/14/19,5
MAMA'S LAST HUG,Frans de Waal,Norton,Norton,9.78E+12,Hardcover Nonfiction,4/14/19,3
THE UNINHABITABLE EARTH,David Wallace-Wells,Tim Duggan,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,4/14/19,6
GRATEFUL AMERICAN,Gary Sinise with Marcus Brotherton,Thomas Nelson,HarperCollins,9.78E+12,Hardcover Nonfiction,4/14/19,6
THE CASE FOR TRUMP,Victor Davis Hanson,Basic,Perseus Books,9.78E+12,Hardcover Nonfiction,4/14/19,4
SPEARHEAD,Adam Makos,Ballantine,Penguin Random House,9.78E+12,Hardcover Nonfiction,4/14/19,5
INSIDE THE EMPIRE,Bob Klapisch and Paul Solotaroff,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,9.78E+12,Hardcover Nonfiction,4/14/19,1
BLUEPRINT,Nicholas A Christakis,"Little, Brown Spark",Hachette Book,9.78E+12,Hardcover Nonfiction,4/14/19,1
"KUSHNER, INC.",Vicky Ward,St. Martin's,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,4/14/19,2
SUPERMARKET,Bob Hall,Simon & Schuster,Simon & Schuster,9.78E+12,Trade Fiction Paperback,4/14/19,1
THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,HarperCollins,9.78E+12,Trade Fiction Paperback,4/14/19,4
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Trade Fiction Paperback,4/14/19,30
THE FIRST LADY,James Patterson and Brendan DuBois,Grand Central,Grand Central,9.78E+12,Trade Fiction Paperback,4/14/19,3
A GENTLEMAN IN MOSCOW,Amor Towles,Penguin,Penguin Random House,9.78E+12,Trade Fiction Paperback,4/14/19,1
THE LOST GIRLS OF PARIS,Pam Jenoff,Park Row,HarperCollins,9.78E+12,Trade Fiction Paperback,4/14/19,9
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,Penguin Random House,9.78E+12,Trade Fiction Paperback,4/14/19,43
THE HUNTRESS,Kate Quinn,Morrow,HarperCollins,9.78E+12,Trade Fiction Paperback,4/14/19,5
THE IMMORTALISTS,Chloe Benjamin,Putnam,Penguin Random House,9.78E+12,Trade Fiction Paperback,4/14/19,8
SOLD ON A MONDAY,Kristina McMorris,Sourcebooks Landmark,Sourcebooks,9.78E+12,Trade Fiction Paperback,4/14/19,17
MILK AND HONEY,Rupi Kaur,Andrews McMeel,Andrews McMeel,9.78E+12,Trade Fiction Paperback,4/14/19,155
I WAS ANASTASIA,Ariel Lawhon,Anchor,Penguin Random House,9.78E+12,Trade Fiction Paperback,4/14/19,5
AN AMERICAN MARRIAGE,Tayari Jones,Algonquin,Algonquin Books,9.78E+12,Trade Fiction Paperback,4/14/19,8
LESS,Andrew Sean Greer,Back Bay,Hachette Book,9.78E+12,Trade Fiction Paperback,4/14/19,45
THEN SHE WAS GONE,Lisa Jewell,Atria,Simon & Schuster,9.78E+12,Trade Fiction Paperback,4/14/19,13
BORN A CRIME,Trevor Noah,Spiegel & Grau,Spiegel & Grau,9.78E+12,Paperback Nonfiction,4/14/19,7
SAPIENS,Yuval Noah Harari,Harper Perennial,HarperCollins,9.78E+12,Paperback Nonfiction,4/14/19,46
LEAD FROM THE OUTSIDE,Stacey Abrams,Picador,Holtzbrinck Publishing Group/Macmillan,9.78E+12,Paperback Nonfiction,4/14/19,1
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,Unitarian Universalist Association,9.78E+12,Paperback Nonfiction,4/14/19,38
I'LL BE GONE IN THE DARK,Michelle McNamara,Harper Perennial,HarperCollins,9.78E+12,Paperback Nonfiction,4/14/19,5
THE DIRT,"Tommy Lee, Vince Neil, Mick Mars, Nikki Sixx and Neil Strauss",Dey St.,HarperCollins,9.78E+12,Paperback Nonfiction,4/14/19,1
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,Penguin Random House,9.78E+12,Paperback Nonfiction,4/14/19,23
KILLERS OF THE FLOWER MOON,David Grann,Vintage,Penguin Random House,9.78E+12,Paperback Nonfiction,4/14/19,52
GRIT,Angela Duckworth,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,4/14/19,31
JUST MERCY,Bryan Stevenson,Spiegel & Grau,Spiegel & Grau,9.78E+12,Paperback Nonfiction,4/14/19,146
THE COLLECTED SCHIZOPHRENIAS,Esm√© Weijun Wang,Graywolf,Graywolf Press,9.78E+12,Paperback Nonfiction,4/14/19,5
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",HarperCollins,9.78E+12,Paperback Nonfiction,4/14/19,208
BEING MORTAL,Atul Gawande,Picador,Holtzbrinck Publishing Group/Macmillan,9.78E+12,Paperback Nonfiction,4/14/19,77
WHY WE SLEEP,Matthew Walker,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,4/14/19,10
HILLBILLY ELEGY,J.D. Vance,Harper,HarperCollins,9.78E+12,Paperback Nonfiction,4/14/19,38
"GIRL, STOP APOLOGIZING",Rachel Hollis,HarperCollins Leadership,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,4/14/19,4
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,HarperOne/HarperCollins,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,4/14/19,120
THE PATH MADE CLEAR,Oprah Winfrey,Flatiron,Macmillan Publishers,9.78E+12,Advice How-To and Miscellaneous,4/14/19,1
"GIRL, WASH YOUR FACE",Rachel Hollis,Thomas Nelson,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,4/14/19,51
YOU ARE A BADASS,Jen Sincero,Running Press,Hachette Book,9.78E+12,Advice How-To and Miscellaneous,4/14/19,165
THE LIFE-CHANGING MAGIC OF TIDYING UP,Marie Kondo,Ten Speed,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,4/14/19,159
DARE TO LEAD,Bren√© Brown,Random House,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,4/14/19,12
THE FIVE LOVE LANGUAGES,Gary Chapman,Northfield,Northfield,9.78E+12,Advice How-To and Miscellaneous,4/14/19,274
SALT FAT ACID HEAT,Samin Nosrat.,Simon & Schuster,Simon & Schuster,9.78E+12,Advice How-To and Miscellaneous,4/14/19,23
DREYER'S ENGLISH,Benjamin Dreyer,Random House,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,4/14/19,9
WE ARE THE GARDENERS,Joanna Gaines and Kids,Tommy Nelson,HarperCollins,9.78E+12,Picture Books,4/14/19,1
RAISE YOUR HAND,Alice Paul Tapper,Penguin Workshop,Penguin Random House,9.78E+12,Picture Books,4/14/19,1
PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean,HarperFestival,HarperCollins,9.78E+12,Picture Books,4/14/19,13
THE GOOD EGG,Jory John.,HarperCollins,HarperCollins,9.78E+12,Picture Books,4/14/19,7
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,Penguin Random House,9.78E+12,Picture Books,4/14/19,178
YOU ARE MY HAPPY,Hoda Kotb,Harper,HarperCollins,9.78E+12,Picture Books,4/14/19,4
DRAGONS LOVE TACOS,Adam Rubin.,Dial,Penguin Random House,9.78E+12,Picture Books,4/14/19,265
HOW TO CATCH THE EASTER BUNNY,Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,Sourcebooks,9.78E+12,Picture Books,4/14/19,1
THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,Penguin Random House,9.78E+12,Picture Books,4/14/19,267
P IS FOR PTERODACTYL,Raj Haldar and Chris Carpenter,Sourcebooks Jabberwocky,Sourcebooks,9.78E+12,Picture Books,4/14/19,16
DOG MAN,Dav Pilkey,Scholastic,Scholastic,9.78E+12,Series Books,4/14/19,83
DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,Abrams,9.78E+12,Series Books,4/14/19,524
HARRY POTTER,J.K. Rowling,Scholastic,Scholastic,9.78E+12,Series Books,4/14/19,523
CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,Scholastic,9.78E+12,Series Books,4/14/19,164
WINGS OF FIRE,Tui T. Sutherland,Scholastic,Scholastic,9.78E+12,Series Books,4/14/19,46
BIG NATE,Lincoln Peirce,Andrews McMeel/HarperCollins,HarperCollins,9.78E+12,Series Books,4/14/19,144
WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,Penguin Random House,9.78E+12,Series Books,4/14/19,70
TO ALL THE BOYS I'VE LOVED BEFORE,Jenny Han,Simon & Schuster,Simon & Schuster,9.78E+12,Series Books,4/14/19,37
I SURVIVED,Lauren Tarshis,Scholastic,Scholastic,9.78E+12,Series Books,4/14/19,51
DORK DIARIES,Rachel Ren√©e Russell,Simon & Schuster,Simon & Schuster,9.78E+12,Series Books,4/14/19,284
FIVE FEET APART,Rachael Lippincott with Mikki Daughtry and Tobias Iaconis,Simon & Schuster,Simon & Schuster,9.78E+12,Young Adult Hardcover,4/14/19,17
THE HATE U GIVE,Angie Thomas,Balzer + Bray,HarperCollins,9.78E+12,Young Adult Hardcover,4/14/19,109
ON THE COME UP,Angie Thomas,Balzer + Bray,HarperCollins,9.78E+12,Young Adult Hardcover,4/14/19,8
DEAR EVAN HANSEN: THE NOVEL,"Val Emmich with Steven Levenson, Benj Pasek & Justin Paul",Poppy,Poppy,9.78E+12,Young Adult Hardcover,4/14/19,25
"THE FORK, THE WITCH, AND THE WORM",Christopher Paolini with Angela Paolini,Knopf,Penguin Random House,9.78E+12,Young Adult Hardcover,4/14/19,13
CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,Macmillan Publishers,9.78E+12,Young Adult Hardcover,4/14/19,56
SHOUT,Laurie Halse Anderson,Viking,Penguin Random House,9.78E+12,Young Adult Hardcover,4/14/19,3
TWO CAN KEEP A SECRET,Karen M McManus,Delacorte,Penguin Random House,9.78E+12,Young Adult Hardcover,4/14/19,12
ONE OF US IS LYING,Karen M. McManus,Delacorte,Penguin Random House,9.78E+12,Young Adult Hardcover,4/14/19,78
THE POET X,Elizabeth Acevedo,HarperTeen,HarperCollins,9.78E+12,Young Adult Hardcover,4/14/19,10
NEON PREY,John Sandford,Putnam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,1
WHERE THE CRAWDADS SING,Delia Owens,Putnam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,33
REDEMPTION,David Baldacci,Grand Central,Grand Central,9.78E+12,Combined Print and E-Book Fiction,5/12/19,2
THE MISTER,E L James,Vintage,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,2
THE TROUBLE WITH VAMPIRES,Lynsay Sands,Avon,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,5/12/19,1
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,5/12/19,33
THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,5/12/19,24
LOST ROSES,Martha Hall Kelly,Ballantine,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,3
A GAME OF THRONES,George RR Martin,Bantam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,53
WAR OF THE SPARK: RAVNICA,Greg Weisman,Del Rey,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,1
A GENTLEMAN IN MOSCOW,Amor Towles,Penguin,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,4
SOMEONE KNOWS,Lisa Scottoline,Putnam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,3
THE OVERSTORY,Richard Powers,Norton,Norton,9.78E+12,Combined Print and E-Book Fiction,5/12/19,2
THE SILENT PATIENT,Alex Michaelides,Celadon,Macmillan Publishers,9.78E+12,Combined Print and E-Book Fiction,5/12/19,11
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,5/12/19,32
THE MUELLER REPORT,with related materials  The Washington Post,Scribner,Simon & Schuster,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,1
EDUCATED,Tara Westover,Random House,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,62
BECOMING,Michelle Obama,Crown,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,24
THE MOMENT OF LIFT,Melinda Gates,Flatiron,Macmillan Publishers,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,1
THE SECOND MOUNTAIN,David Brooks,Random House,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,2
LIFE WILL BE THE DEATH OF ME,Chelsea Handler,Spiegel & Grau,Spiegel & Grau,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,3
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,4
AMERICA BEFORE,Graham Hancock,St. Martin's,Macmillan Publishers,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,1
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,38
THE MATRIARCH,Susan Page,Twelve,Hachette Book,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,4
THE MUELLER REPORT,with an introduction  Alan Dershowitz,Skyhorse,Skyhorse Publishing,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,1
BORN A CRIME,Trevor Noah,Spiegel & Grau,Spiegel & Grau,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,44
SAPIENS,Yuval Noah Harari,Harper,HarperCollins,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,69
NANAVILLE,Anna Quindlen,Random House,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,1
SAVE ME THE PLUMS,Ruth Reichl,Random House,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,5/12/19,4
WHERE THE CRAWDADS SING,Delia Owens,Putnam,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,34
NEON PREY,John Sandford,Putnam,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,1
REDEMPTION,David Baldacci,Grand Central,Grand Central,9.78E+12,Hardcover Fiction,5/12/19,2
LOST ROSES,Martha Hall Kelly,Ballantine,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,3
WAR OF THE SPARK: RAVNICA,Greg Weisman,Del Rey,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,1
NORMAL PEOPLE,Sally Rooney,Hogarth,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,2
SOMEONE KNOWS,Lisa Scottoline,Putnam,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,3
THE SILENT PATIENT,Alex Michaelides,Celadon,Macmillan Publishers,9.78E+12,Hardcover Fiction,5/12/19,12
FIRE AND BLOOD,George R.R. Martin,Bantam,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,18
MACHINES LIKE ME,Ian McEwan,Nan A. Talese/Doubleday,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,1
RUN AWAY,Harlan Coben,Grand Central,Grand Central,9.78E+12,Hardcover Fiction,5/12/19,6
MIRACLE AT ST. ANDREWS,James Patterson and Peter de Jonge,"Little, Brown",Hachette Book,9.78E+12,Hardcover Fiction,5/12/19,3
CELTIC EMPIRE,Clive Cussler and Dirk Cussler,Putnam,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,6
DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,8
STAR WARS: MASTER & APPRENTICE,Claudia Gray,Del Rey,Penguin Random House,9.78E+12,Hardcover Fiction,5/12/19,2
BECOMING,Michelle Obama,Crown,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,24
EDUCATED,Tara Westover,Random House,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,62
THE MOMENT OF LIFT,Melinda Gates,Flatiron,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,5/12/19,1
THE SECOND MOUNTAIN,David Brooks,Random House,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,2
LIFE WILL BE THE DEATH OF ME,Chelsea Handler,Spiegel & Grau,Spiegel & Grau,9.78E+12,Hardcover Nonfiction,5/12/19,3
AMERICA BEFORE,Graham Hancock,St. Martin's,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,5/12/19,1
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,9.78E+12,Hardcover Nonfiction,5/12/19,4
THE MATRIARCH,Susan Page,Twelve,Hachette Book,9.78E+12,Hardcover Nonfiction,5/12/19,4
NANAVILLE,Anna Quindlen,Random House,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,1
SHORTEST WAY HOME,Pete Buttigieg,Liveright,Norton,9.78E+12,Hardcover Nonfiction,5/12/19,6
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,28
SAVE ME THE PLUMS,Ruth Reichl,Random House,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,3
WORKING,Robert A Caro,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,3
THE RIGHT SIDE OF HISTORY,Ben Shapiro,Broadside,HarperCollins,9.78E+12,Hardcover Nonfiction,5/12/19,6
K,Tyler Kepner,Doubleday,Penguin Random House,9.78E+12,Hardcover Nonfiction,5/12/19,1
THE MISTER,E L James,Vintage,Penguin Random House,9.78E+12,Trade Fiction Paperback,5/12/19,2
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Trade Fiction Paperback,5/12/19,34
THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,HarperCollins,9.78E+12,Trade Fiction Paperback,5/12/19,8
A GENTLEMAN IN MOSCOW,Amor Towles,Penguin,Penguin Random House,9.78E+12,Trade Fiction Paperback,5/12/19,5
THE LOST GIRLS OF PARIS,Pam Jenoff,Park Row,HarperCollins,9.78E+12,Trade Fiction Paperback,5/12/19,13
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,Penguin Random House,9.78E+12,Trade Fiction Paperback,5/12/19,47
THE OVERSTORY,Richard Powers,Norton,Norton,9.78E+12,Trade Fiction Paperback,5/12/19,3
THE 13-MINUTE MURDER,James Patterson,Grand Central,Grand Central,9.78E+12,Trade Fiction Paperback,5/12/19,2
AFTER,Anna Todd,Gallery,Simon & Schuster,9.78E+12,Trade Fiction Paperback,5/12/19,4
SUPERMARKET,Bob Hall,Simon & Schuster,Simon & Schuster,9.78E+12,Trade Fiction Paperback,5/12/19,5
SOMETHING IN THE WATER,Catherine Steadman,Ballantine,Penguin Random House,9.78E+12,Trade Fiction Paperback,5/12/19,3
THE ALICE NETWORK,Kate Quinn,Morrow,HarperCollins,9.78E+12,Trade Fiction Paperback,5/12/19,14
THE FIRST LADY,James Patterson and Brendan DuBois,Grand Central,Grand Central,9.78E+12,Trade Fiction Paperback,5/12/19,7
WASHINGTON BLACK,Esi Edugyan,Vintage,Penguin Random House,9.78E+12,Trade Fiction Paperback,5/12/19,1
THE HUNTRESS,Kate Quinn,Morrow,HarperCollins,9.78E+12,Trade Fiction Paperback,5/12/19,9
THE MUELLER REPORT,with related materials  The Washington Post,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,5/12/19,1
BORN A CRIME,Trevor Noah,Spiegel & Grau,Spiegel & Grau,9.78E+12,Paperback Nonfiction,5/12/19,11
SAPIENS,Yuval Noah Harari,Harper Perennial,HarperCollins,9.78E+12,Paperback Nonfiction,5/12/19,50
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,Unitarian Universalist Association,9.78E+12,Paperback Nonfiction,5/12/19,42
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,Penguin Random House,9.78E+12,Paperback Nonfiction,5/12/19,27
WHY WE SLEEP,Matthew Walker,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,5/12/19,13
GRIT,Angela Duckworth,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,5/12/19,35
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",HarperCollins,9.78E+12,Paperback Nonfiction,5/12/19,212
JUST MERCY,Bryan Stevenson,Spiegel & Grau,Spiegel & Grau,9.78E+12,Paperback Nonfiction,5/12/19,150
I'LL BE GONE IN THE DARK,Michelle McNamara,Harper Perennial,HarperCollins,9.78E+12,Paperback Nonfiction,5/12/19,9
LEAD FROM THE OUTSIDE,Stacey Abrams,Picador,Holtzbrinck Publishing Group/Macmillan,9.78E+12,Paperback Nonfiction,5/12/19,4
THE FUTURE OF HUMANITY,Michio Kaku,Anchor,Penguin Random House,9.78E+12,Paperback Nonfiction,5/12/19,2
BEING MORTAL,Atul Gawande,Picador,Holtzbrinck Publishing Group/Macmillan,9.78E+12,Paperback Nonfiction,5/12/19,81
KILLERS OF THE FLOWER MOON,David Grann,Vintage,Penguin Random House,9.78E+12,Paperback Nonfiction,5/12/19,55
FLY GIRLS,Keith O'Brien,Eamon Dolan/Mariner,HarperCollins,9.78E+12,Paperback Nonfiction,5/12/19,3
THE LIFE-CHANGING MAGIC OF TIDYING UP,Marie Kondo,Ten Speed,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,5/12/19,161
"GIRL, STOP APOLOGIZING",Rachel Hollis,HarperCollins Leadership,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,5/12/19,8
"GIRL, WASH YOUR FACE",Rachel Hollis,Thomas Nelson,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,5/12/19,55
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,HarperOne/HarperCollins,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,5/12/19,124
CRIBSHEET,Emily Oster,Penguin Press,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,5/12/19,1
CRUSHING,TD Jakes,FaithWords,Hachette Book,9.78E+12,Advice How-To and Miscellaneous,5/12/19,2
NEXT LEVEL BASIC,Stassi Schroeder,Gallery,Simon & Schuster,9.78E+12,Advice How-To and Miscellaneous,5/12/19,2
DARING GREATLY,Bren√© Brown,Avery,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,5/12/19,71
THE PATH MADE CLEAR,Oprah Winfrey,Flatiron,Macmillan Publishers,9.78E+12,Advice How-To and Miscellaneous,5/12/19,5
YOU ARE A BADASS,Jen Sincero,Running Press,Hachette Book,9.78E+12,Advice How-To and Miscellaneous,5/12/19,169
DEAR BOY,Paris Rosenthal and Jason Rosenthal,HarperCollins,HarperCollins,9.78E+12,Picture Books,5/12/19,1
WE ARE THE GARDENERS,Joanna Gaines and Kids,Tommy Nelson,HarperCollins,9.78E+12,Picture Books,5/12/19,5
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,Penguin Random House,9.78E+12,Picture Books,5/12/19,182
DEAR GIRL,Amy Krouse Rosenthal and Paris Rosenthal.,HarperCollins,HarperCollins,9.78E+12,Picture Books,5/12/19,22
DRAGONS LOVE TACOS,Adam Rubin.,Dial,Penguin Random House,9.78E+12,Picture Books,5/12/19,269
DON'T LET THEM DISAPPEAR,Chelsea Clinton,Philomel,Penguin Random House,9.78E+12,Picture Books,5/12/19,4
I WISH YOU MORE,Amy Krouse Rosenthal.,Chronicle,McEvoy,9.78E+12,Picture Books,5/12/19,43
THE GOOD EGG,Jory John.,HarperCollins,HarperCollins,9.78E+12,Picture Books,5/12/19,11
THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,Penguin Random House,9.78E+12,Picture Books,5/12/19,268
WE DON'T EAT OUR CLASSMATES!,Ryan T. Higgins,Disney-Hyperion,Disney Publishing Worldwide,9.78E+12,Picture Books,5/12/19,12
DOG MAN,Dav Pilkey,Scholastic,Scholastic,9.78E+12,Series Books,5/12/19,87
DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,Abrams,9.78E+12,Series Books,5/12/19,528
HARRY POTTER,J.K. Rowling,Scholastic,Scholastic,9.78E+12,Series Books,5/12/19,527
WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,Penguin Random House,9.78E+12,Series Books,5/12/19,74
CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,Scholastic,9.78E+12,Series Books,5/12/19,168
BIG NATE,Lincoln Peirce,Andrews McMeel/HarperCollins,HarperCollins,9.78E+12,Series Books,5/12/19,148
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,Disney Publishing Worldwide,9.78E+12,Series Books,5/12/19,501
TO ALL THE BOYS I'VE LOVED BEFORE,Jenny Han,Simon & Schuster,Simon & Schuster,9.78E+12,Series Books,5/12/19,41
DORK DIARIES,Rachel Ren√©e Russell,Simon & Schuster,Simon & Schuster,9.78E+12,Series Books,5/12/19,287
PHOEBE AND HER UNICORN,Dana Simpson,Andrews McMeel,Andrews McMeel,9.78E+12,Series Books,5/12/19,1
FIVE FEET APART,Rachael Lippincott with Mikki Daughtry and Tobias Iaconis,Simon & Schuster,Simon & Schuster,9.78E+12,Young Adult Hardcover,5/12/19,21
THE HATE U GIVE,Angie Thomas,Balzer + Bray,HarperCollins,9.78E+12,Young Adult Hardcover,5/12/19,113
ON THE COME UP,Angie Thomas,Balzer + Bray,HarperCollins,9.78E+12,Young Adult Hardcover,5/12/19,12
THE RED SCROLLS OF MAGIC,Cassandra Clare and Wesley Chu,Margaret K. McElderry,Simon & Schuster,9.78E+12,Young Adult Hardcover,5/12/19,3
CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,Macmillan Publishers,9.78E+12,Young Adult Hardcover,5/12/19,60
"THE FORK, THE WITCH, AND THE WORM",Christopher Paolini with Angela Paolini,Knopf,Penguin Random House,9.78E+12,Young Adult Hardcover,5/12/19,17
DEAR EVAN HANSEN: THE NOVEL,"Val Emmich with Steven Levenson, Benj Pasek & Justin Paul",Poppy,Poppy,9.78E+12,Young Adult Hardcover,5/12/19,29
THE FALL OF CRAZY HOUSE,James Patterson and Gabrielle Charbonnet,jimmy patterson,Hachette Book,9.78E+12,Young Adult Hardcover,5/12/19,3
THE POET X,Elizabeth Acevedo,HarperTeen,HarperCollins,9.78E+12,Young Adult Hardcover,5/12/19,11
SHOUT,Laurie Halse Anderson,Viking,Penguin Random House,9.78E+12,Young Adult Hardcover,5/12/19,7
WHERE THE CRAWDADS SING,Delia Owens,Putnam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,6/9/19,37
A GAME OF THRONES,George RR Martin,Bantam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,6/9/19,57
THE 18TH ABDUCTION,James Patterson and Maxine Paetro,"Little, Brown",Hachette Book,9.78E+12,Combined Print and E-Book Fiction,6/9/19,4
