Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,1/20/19,13
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,12
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,Simon & Schuster,9.78E+12,Hardcover Nonfiction,1/20/19,16
THE FIFTH RISK,Michael Lewis,Norton,Norton,9.78E+12,Hardcover Nonfiction,1/20/19,12
ASTROPHYSICS FOR PEOPLE IN A HURRY,Neil deGrasse Tyson,Norton,Norton,9.78E+12,Hardcover Nonfiction,1/20/19,79
FEAR,Bob Woodward,Simon & Schuster,Simon & Schuster,9.78E+12,Hardcover Nonfiction,1/20/19,17
SHADE,Pete Souza,"Little, Brown",Hachette Book,9.78E+12,Hardcover Nonfiction,1/20/19,12
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,Viking,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,8
BEASTIE BOYS BOOK,Michael Diamond and Adam Horovitz,Spiegel & Grau,Spiegel & Grau,9.78E+12,Hardcover Nonfiction,1/20/19,10
ALMOST EVERYTHING,Anne Lamott,Riverhead,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,6
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Trade Fiction Paperback,1/20/19,18
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,Penguin Random House,9.78E+12,Trade Fiction Paperback,1/20/19,31
A DOG'S WAY HOME,W Bruce Cameron,Forge,Macmillan Publishers,9.78E+12,Trade Fiction Paperback,1/20/19,6
CRAZY RICH ASIANS,Kevin Kwan,Anchor,Penguin Random House,9.78E+12,Trade Fiction Paperback,1/20/19,37
ONE DAY IN DECEMBER,Josie Silver,Broadway,Penguin Random House,9.78E+12,Trade Fiction Paperback,1/20/19,5
MILK AND HONEY,Rupi Kaur,Andrews McMeel,Andrews McMeel,9.78E+12,Trade Fiction Paperback,1/20/19,143
THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,Andrews McMeel,9.78E+12,Trade Fiction Paperback,1/20/19,66
LESS,Andrew Sean Greer,Back Bay,Hachette Book,9.78E+12,Trade Fiction Paperback,1/20/19,33
CHINA RICH GIRLFRIEND,Kevin Kwan,Anchor,Penguin Random House,9.78E+12,Trade Fiction Paperback,1/20/19,22
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,Simon & Schuster,9.78E+12,Trade Fiction Paperback,1/20/19,66
THE ALICE NETWORK,Kate Quinn,Morrow,HarperCollins,9.78E+12,Trade Fiction Paperback,1/20/19,9
THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,Macmillan Publishers,9.78E+12,Trade Fiction Paperback,1/20/19,9
SOLD ON A MONDAY,Kristina McMorris,Sourcebooks Landmark,Sourcebooks,9.78E+12,Trade Fiction Paperback,1/20/19,9
THEN SHE WAS GONE,Lisa Jewell,Atria,Simon & Schuster,9.78E+12,Trade Fiction Paperback,1/20/19,2
THE NIGHTINGALE,Kristin Hannah,St. Martin's Griffin,Macmillan Publishers,9.78E+12,Trade Fiction Paperback,1/20/19,29
SAPIENS,Yuval Noah Harari,Harper Perennial,HarperCollins,9.78E+12,Paperback Nonfiction,1/20/19,34
THE INNOCENT MAN,John Grisham,Bantam/Dell,Penguin Random House,9.78E+12,Paperback Nonfiction,1/20/19,43
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,Unitarian Universalist Association,9.78E+12,Paperback Nonfiction,1/20/19,26
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,Penguin Random House,9.78E+12,Paperback Nonfiction,1/20/19,11
SHOE DOG,Phil Knight,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,1/20/19,25
JUST MERCY,Bryan Stevenson,Spiegel & Grau,Spiegel & Grau,9.78E+12,Paperback Nonfiction,1/20/19,134
KILLERS OF THE FLOWER MOON,David Grann,Vintage,Penguin Random House,9.78E+12,Paperback Nonfiction,1/20/19,40
MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,Simon & Schuster,9.78E+12,Paperback Nonfiction,1/20/19,8
BEAUTIFUL BOY,David Sheff,Mariner,HarperCollins,9.78E+12,Paperback Nonfiction,1/20/19,17
GRIT,Angela Duckworth,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,1/20/19,19
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",HarperCollins,9.78E+12,Paperback Nonfiction,1/20/19,196
THE POWER OF HABIT,Charles Duhigg,Random House,Penguin Random House,9.78E+12,Paperback Nonfiction,1/20/19,121
BEING MORTAL,Atul Gawande,Picador,Holtzbrinck Publishing Group/Macmillan,9.78E+12,Paperback Nonfiction,1/20/19,67
OUTLIERS,Malcolm Gladwell,"Back Bay/Little, Brown",Hachette Book,9.78E+12,Paperback Nonfiction,1/20/19,274
HILLBILLY ELEGY,J.D. Vance,Harper,HarperCollins,9.78E+12,Paperback Nonfiction,1/20/19,29
"GIRL, WASH YOUR FACE",Rachel Hollis,Thomas Nelson,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,1/20/19,39
THE LIFE-CHANGING MAGIC OF TIDYING UP,Marie Kondo,Ten Speed,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,1/20/19,147
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,HarperOne/HarperCollins,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,1/20/19,108
YOU ARE A BADASS,Jen Sincero,Running Press,Hachette Book,9.78E+12,Advice How-To and Miscellaneous,1/20/19,153
CAN'T HURT ME,David Goggins,Lioncrest,Lioncrest Publishing,9.78E+12,Advice How-To and Miscellaneous,1/20/19,2
IT'S NOT SUPPOSED TO BE THIS WAY,Lysa TerKeurst,Thomas Nelson,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,1/20/19,3
HOMEBODY,Joanna Gaines,Harper Design,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,1/20/19,9
ATOMIC HABITS,James Clear,Avery,Penguin Random House,9.78E+12,Advice How-To and Miscellaneous,1/20/19,2
THE WHOLE30,Melissa Hartwig and Dallas Hartwig,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,9.78E+12,Advice How-To and Miscellaneous,1/20/19,116
MAGNOLIA TABLE,Joanna Gaines with Marah Stets,Morrow,HarperCollins,9.78E+12,Advice How-To and Miscellaneous,1/20/19,32
