Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Parent Group
SWING!,Rufus Butler Seder,Workman,761151273,9.78076E+12,Picture Books,6/7/09,32,Hachette Book
DUCK! RABBIT!,Amy Krouse Rosenthal,Chronicle,811868656,9.78081E+12,Picture Books,6/7/09,3,McEvoy
LLAMA LLAMA MISSES MAMA,Anna Dewdney,Viking,670061980,9.78067E+12,Picture Books,6/7/09,4,Penguin Random House
LADYBUG GIRL AND BUMBLEBEE BOY,David Soman and Jacky Davis,Dial,803733399,9.7808E+12,Picture Books,6/7/09,11,Penguin Random House
NAKED MOLE RAT GETS DRESSED,Mo Willems,Disney-Hyperion,142311437X,9.78142E+12,Picture Books,6/7/09,15,Disney Publishing Worldwide
THE TWILIGHT SAGA,Stephenie Meyer,"Megan Tingley/Little, Brown",316160202,9.78032E+12,Series Books,6/7/09,94,Hachette Book
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1423103343,9.78142E+12,Series Books,6/7/09,98,Disney Publishing Worldwide
DIARY OF A WIMPY KID,and   Jeff Kinney,Abrams,810994739,9.78081E+12,Series Books,6/7/09,19,Abrams
HOUSE OF NIGHT,PC Cast and Kristin Cast,St. Martin's,312379838,9.78031E+12,Series Books,6/7/09,39,Macmillan Publishers
THE MORTAL INSTRUMENTS,Cassandra Clare,McElderry/Simon & Schuster,1416972242,9.78142E+12,Series Books,6/7/09,9,
PENDRAGON,D J MacHale,Aladdin,1416914188,9.78142E+12,Series Books,6/7/09,73,Simon & Schuster
NIGHT WORLD,L J Smith,Simon Pulse,1416974504,9.78142E+12,Series Books,6/7/09,24,
VAMPIRE KISSES,Ellen Schreiber,HarperTeen,006177894X,9.78006E+12,Series Books,6/7/09,2,HarperCollins
WARRIORS,Erin Hunter,HarperCollins,61458562,9.78006E+12,Series Books,6/7/09,73,HarperCollins
MAXIMUM RIDE,James Patterson,"Little, Brown",446618896,9.78045E+12,Series Books,6/7/09,55,Hachette Book
FIRST FAMILY,David Baldacci,Grand Central,044654695X,9.78045E+12,Hardcover Fiction,5/10/09,1,Grand Central
TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,Pantheon,375424490,9.78038E+12,Hardcover Fiction,5/10/09,1,Penguin Random House
LOITERING WITH INTENT,Stuart Woods,Putnam,399155783,9.7804E+12,Hardcover Fiction,5/10/09,1,Penguin Random House
JUST TAKE MY HEART,Mary Higgins Clark,Simon & Schuster,1416570861,9.78142E+12,Hardcover Fiction,5/10/09,3,Simon & Schuster
THE PERFECT POISON,Amanda Quick,Putnam,399155805,9.7804E+12,Hardcover Fiction,5/10/09,1,Penguin Random House
THE HOST,Stephenie Meyer,"Little, Brown",316068047,9.78032E+12,Hardcover Fiction,5/10/09,50,Hachette Book
LOOK AGAIN,Lisa Scottoline,St. Martin's,312380720,9.78031E+12,Hardcover Fiction,5/10/09,2,Macmillan Publishers
DEADLOCK,Iris Johansen,St. Martin's,312368119,9.78031E+12,Hardcover Fiction,5/10/09,1,Macmillan Publishers
LONG LOST,Harlan Coben,Dutton,525951059,9.78053E+12,Hardcover Fiction,5/10/09,4,Penguin Random House
TURN COAT,Jim Butcher,Roc,451462564,9.78045E+12,Hardcover Fiction,5/10/09,3,
THE ASSOCIATE,John Grisham,Doubleday,385517831,9.78039E+12,Hardcover Fiction,5/10/09,13,Penguin Random House
HANDLE WITH CARE,Jodi Picoult,Atria,743296419,9.78074E+12,Hardcover Fiction,5/10/09,8,Simon & Schuster
THE HELP,Kathryn Stockett,Amy Einhorn/Putnam,399155341,9.7804E+12,Hardcover Fiction,5/10/09,5,Penhuin Random House
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,385340990,9.78039E+12,Hardcover Fiction,5/10/09,32,Penguin Random House
FATALLY FLAKY,Diane Mott Davidson,William Morrow,61348139,9.78006E+12,Hardcover Fiction,5/10/09,3,
ARTHAS,Christie Golden,Pocket Books,1416550771,9.78142E+12,Hardcover Fiction,5/10/09,1,
A RELIABLE WIFE,Robert Goolrick,Algonquin,1565125967,9.78157E+12,Hardcover Fiction,5/10/09,0,Algonquin Books
BORDERLINE,Nevada Barr,Putnam,399155694,9.7804E+12,Hardcover Fiction,5/10/09,0,Penguin Random House
ONE SECOND AFTER,William R Forstchen,Forge,765317583,9.78077E+12,Hardcover Fiction,5/10/09,0,Macmillan Publishers
BONEMAN'S DAUGHTERS,Ted Dekker,Center Street,1599951959,9.7816E+12,Hardcover Fiction,5/10/09,0,Center Street
LIBERTY AND TYRANNY,Mark R Levin,Threshold Editions,1416562850,9.78142E+12,Hardcover Nonfiction,5/10/09,5,Simon & Schuster
OUTLIERS,Malcolm Gladwell,"Little, Brown",316017922,9.78032E+12,Hardcover Nonfiction,5/10/09,23,Hachette Book
COLUMBINE,Dave Cullen,Twelve,446546933,9.78045E+12,Hardcover Nonfiction,5/10/09,3,Hachette Book
ALWAYS LOOKING UP,Michael J Fox,Hyperion,1401303382,9.7814E+12,Hardcover Nonfiction,5/10/09,4,Disney Publishing Worldwide
THE GIRLS FROM AMES,Jeffrey Zaslow,Gotham,1592404456,9.78159E+12,Hardcover Nonfiction,5/10/09,1,
MOMMYWOOD,Tori Spelling with Hilary Liftin,Simon Spotlight Entertainment,141659910X,9.78142E+12,Hardcover Nonfiction,5/10/09,2,Simon & Schuster
HOUSE OF CARDS,William D Cohan,Doubleday,385528264,9.78039E+12,Hardcover Nonfiction,5/10/09,7,Penguin Random House
A BOLD FRESH PIECE OF HUMANITY,Bill O’Reilly,Broadway,767928822,9.78077E+12,Hardcover Nonfiction,5/10/09,28,Penguin Random House
THE YANKEE YEARS,Joe Torre and Tom Verducci,Doubleday,385527403,9.78039E+12,Hardcover Nonfiction,5/10/09,12,Penguin Random House
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,1416954120,9.78142E+12,Hardcover Nonfiction,5/10/09,38,Simon & Schuster
A LITTLE BIT WICKED,Kristin Chenoweth with Joni Rodgers,Touchstone,1416580557,9.78142E+12,Hardcover Nonfiction,5/10/09,2,Simon & Schuster
MIGHT AS WELL LAUGH ABOUT IT NOW,Marie Osmond with Marcia Wilkie,New American Library,451226380,9.78045E+12,Hardcover Nonfiction,5/10/09,4,Penguin Random House
A LION CALLED CHRISTIAN,Anthony Bourke and John Rendall,Broadway,767932307,9.78077E+12,Hardcover Nonfiction,5/10/09,7,Penguin Random House
THE LOST CITY OF Z,David Grann,Doubleday,385513534,9.78039E+12,Hardcover Nonfiction,5/10/09,9,Penguin Random House
PRICELESS MEMORIES,Bob Barker with Dig Diehl,Center Street,1599951355,9.7816E+12,Hardcover Nonfiction,5/10/09,2,Center Street
NOT BECOMING MY MOTHER,Ruth Reichl,Penguin Press,1594202168,9.78159E+12,Hardcover Nonfiction,5/10/09,1,Penguin Random House
JUST WHEN I THOUGHT I'D DROPPED MY LAST EGG,Kathie Lee Gifford,Ballantine,345512065,9.78035E+12,Hardcover Nonfiction,5/10/09,0,Penguin Random House
"JESUS, INTERRUPTED",Bart D Ehrman,HarperOne,61173932,9.78006E+12,Hardcover Nonfiction,5/10/09,0,HarperCollins
GETTING A GRIP,Monica Seles,Avery,1583333304,9.78158E+12,Hardcover Nonfiction,5/10/09,0,Penguin Random House
THE HORSE BOY,Rupert Isaacson,"Little, Brown",316008230,9.78032E+12,Hardcover Nonfiction,5/10/09,0,Hachette Book
THE SHACK,William P Young,Windblown Media,964729237,9.78096E+12,Trade Fiction Paperback,5/10/09,49,Windblown Media
7TH HEAVEN,James Patterson and Maxine Paetro,Grand Central,446199257,9.78045E+12,Trade Fiction Paperback,5/10/09,3,Grand Central
CITY OF THIEVES,David Benioff,Plume,452295297,9.78045E+12,Trade Fiction Paperback,5/10/09,4,Penguin Random House
UNACCUSTOMED EARTH,Jhumpa Lahiri,Vintage Contemporaries,307278255,9.78031E+12,Trade Fiction Paperback,5/10/09,3,
ANGELS AND DEMONS,Dan Brown,Washington Square,1416580824,9.78142E+12,Trade Fiction Paperback,5/10/09,3,Simon & Schuster
FIREFLY LANE,Kristin Hannah,St. Martin's Griffin,312537077,9.78031E+12,Trade Fiction Paperback,5/10/09,16,Macmillan Publishers
THE ELEGANCE OF THE HEDGEHOG,Muriel Barbery,Europa,1933372605,9.78193E+12,Trade Fiction Paperback,5/10/09,15,
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin's Griffin,312348665,9.78031E+12,Trade Fiction Paperback,5/10/09,1,Macmillan Publishers
SARAH’S KEY,Tatiana de Rosnay,St. Martin's Griffin,312370849,9.78031E+12,Trade Fiction Paperback,5/10/09,11,Macmillan Publishers
PRIDE AND PREJUDICE AND ZOMBIES,Jane Austen and Seth Grahame-Smith,Quirk,1594743347,9.78159E+12,Trade Fiction Paperback,5/10/09,4,Quirk Books
MY SISTER’S KEEPER,Jodi Picoult,Washington Square,743454537,9.78074E+12,Trade Fiction Paperback,5/10/09,31,Simon & Schuster
CERTAIN GIRLS,Jennifer Weiner,Washington Square,743294262,9.78074E+12,Trade Fiction Paperback,5/10/09,3,Simon & Schuster
AMERICAN WIFE,Curtis Sittenfeld,Random House,812975405,9.78081E+12,Trade Fiction Paperback,5/10/09,11,Penguin Random House
OLIVE KITTERIDGE,Elizabeth Strout,Random House,140006208X,9.7814E+12,Trade Fiction Paperback,5/10/09,1,Penguin Random House
THE ALCHEMIST,Paulo Coelho,HarperOne,61122416,9.78006E+12,Trade Fiction Paperback,5/10/09,84,HarperCollins
THE READER,Bernhard Schlink,Vintage,307454894,9.78031E+12,Trade Fiction Paperback,5/10/09,21,Penguin Random House
PEOPLE OF THE BOOK,Geraldine Brooks,Penguin,143115006,9.78014E+12,Trade Fiction Paperback,5/10/09,17,Penguin Random House
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,Grand Central,446199443,9.78045E+12,Trade Fiction Paperback,5/10/09,16,Grand Central
THE WHITE TIGER,Aravind Adiga,Free Press,1416562605,9.78142E+12,Trade Fiction Paperback,5/10/09,28,Simon & Schuster
THE FRIDAY NIGHT KNITTING CLUB,Kate Jacobs,Berkley,425219097,9.78043E+12,Trade Fiction Paperback,5/10/09,56,Penguin Random House
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,Penguin,143038257,9.78014E+12,Paperback Nonfiction,5/10/09,117,Penguin Random House
THE MIDDLE PLACE,Kelly Corrigan,Voice,1401340938,9.7814E+12,Paperback Nonfiction,5/10/09,18,
THE SOLOIST,Steve Lopez,Berkley,042522600X,9.78043E+12,Paperback Nonfiction,5/10/09,6,Penguin Random House
I HOPE THEY SERVE BEER IN HELL,Tucker Max,Citadel/Kensington,806527285,9.78081E+12,Paperback Nonfiction,5/10/09,82,Kensington Publishing Corp.
LONE SURVIVOR,Marcus Luttrell with Patrick Robinson,"Back Bay/Little, Brown",316067601,9.78032E+12,Paperback Nonfiction,5/10/09,25,Hachette Book
TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",316346624,9.78032E+12,Paperback Nonfiction,5/10/09,238,Hachette Book
"EAT, PRAY, LOVE",Elizabeth Gilbert,Penguin,143058525,9.78014E+12,Paperback Nonfiction,5/10/09,118,Penguin Random House
MY HORIZONTAL LIFE,Chelsea Handler,Bloomsbury,1582346186,9.78158E+12,Paperback Nonfiction,5/10/09,28,Bloomsbury Publishing
90 MINUTES IN HEAVEN,Don Piper with Cecil Murphey,Revell,800759494,9.7808E+12,Paperback Nonfiction,5/10/09,131,
DREAMS FROM MY FATHER,Barack Obama,Three Rivers,1400082773,9.7814E+12,Paperback Nonfiction,5/10/09,145,Penguin Random House
GOD IS NOT GREAT,Christopher Hitchens,Twelve,446697966,9.78045E+12,Paperback Nonfiction,5/10/09,3,Hachette Book
THE FORGOTTEN MAN: GRAPHIC EDITION,"Amity Shlaes, Paul Rivoche and Chuck Dixon",Harper Perennial,60936428,9.78006E+12,Paperback Nonfiction,5/10/09,24,HarperCollins
SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,Nelson,084991910X,9.78085E+12,Paperback Nonfiction,5/10/09,28,
BLINK,Malcolm Gladwell,"Back Bay/Little, Brown",316010669,9.78032E+12,Paperback Nonfiction,5/10/09,80,Hachette Book
THE AUDACITY OF HOPE,Barack Obama,Three Rivers,307237702,9.78031E+12,Paperback Nonfiction,5/10/09,70,Penguin Random House
THE OMNIVORE’S DILEMMA,Michael Pollan,Penguin,143038583,9.78014E+12,Paperback Nonfiction,5/10/09,84,Penguin Random House
