,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
48,PIRANHA,Clive Cussler and Boyd Morrison,Putnam,0399167323,9780399167324,Hardcover Fiction,2015-06-21,2
49,THE NIGHTINGALE,Kristin Hannah,St. Martin's,0312577222,9780312577223,Hardcover Fiction,2015-06-21,18
50,THE FATEFUL LIGHTNING,Jeff Shaara,Ballantine,0345549198,9780345549198,Hardcover Fiction,2015-06-21,1
51,LUCKIEST GIRL ALIVE,Jessica Knoll,Simon & Schuster,1476789630,9781476789637,Hardcover Fiction,2015-06-21,4
52,OUR SOULS AT NIGHT,Kent Haruf,Knopf,1101875895,9781101875896,Hardcover Fiction,2015-06-21,2
53,BEACH TOWN,Mary Kay Andrews,St. Martin's,1250065933,9781250065933,Hardcover Fiction,2015-06-21,3
54,PALACE OF TREASON,Jason Matthews,Scribner,1476793743,9781476793740,Hardcover Fiction,2015-06-21,1
55,GATHERING PREY,John Sandford,Putnam,0399168796,9780399168796,Hardcover Fiction,2015-06-21,0
56,AT THE WATER'S EDGE,Sara Gruen,Spiegel & Grau,0385523238,9780385523233,Hardcover Fiction,2015-06-21,0
57,GOD HELP THE CHILD,Toni Morrison,Knopf,0307594173,9780307594174,Hardcover Fiction,2015-06-21,0
58,THE WATER KNIFE,Paolo Bacigalupi,Knopf,0385352875,9780385352871,Hardcover Fiction,2015-06-21,0
59,MAKE SOMETHING UP,Chuck Palahniuk,Doubleday,0385538057,9780385538053,Hardcover Fiction,2015-06-21,0
60,THE WRIGHT BROTHERS,David McCullough,Simon & Schuster,1476728747,9781476728742,Hardcover Nonfiction,2015-06-21,5
61,"ADIOS, AMERICA!",Ann Coulter,Regnery,1621572676,9781621572671,Hardcover Nonfiction,2015-06-21,1
62,PRIMATES OF PARK AVENUE,Wednesday Martin,Simon & Schuster,1476762627,9781476762623,Hardcover Nonfiction,2015-06-21,1
63,THE ROAD TO CHARACTER,David Brooks,Random House,081299325X,9780812993257,Hardcover Nonfiction,2015-06-21,8
64,AND THE GOOD NEWS IS ...,Dana Perino,Twelve,1455584908,9781455584901,Hardcover Nonfiction,2015-06-21,7
65,DEAD WAKE,Erik Larson,Crown,0307408868,9780307408860,Hardcover Nonfiction,2015-06-21,13
66,IT'S A LONG STORY,Willie Nelson with David Ritz,"Little, Brown",0316403555,9780316403559,Hardcover Nonfiction,2015-06-21,5
67,BEING MORTAL,Atul Gawande,Metropolitan/Holt,0805095152,9780805095159,Hardcover Nonfiction,2015-06-21,35
68,BILL O'REILLY'S LEGENDS AND LIES,David Fisher,Holt,1627795073,9781627795074,Hardcover Nonfiction,2015-06-21,9
69,ELON MUSK,Ashlee Vance,Ecco/HarperCollins,0062301233,9780062301239,Hardcover Nonfiction,2015-06-21,3
70,AMERICAN WIFE,Taya Kyle with Jim DeFelice,Morrow/HarperCollins,0062398083,9780062398086,Hardcover Nonfiction,2015-06-21,5
