,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,THE JANUARY 6 REPORT,the House January 6th Committee,Harper,0063315505,9780063315501,Paperback Nonfiction,2023-01-22,2
1,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Paperback Nonfiction,2023-01-22,220
2,THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,1250877520,9781250877529,Paperback Nonfiction,2023-01-22,2
3,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Paperback Nonfiction,2023-01-22,57
4,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Paperback Nonfiction,2023-01-22,143
5,DOPAMINE NATION,Anna Lembke,Dutton,1524746746,9781524746742,Paperback Nonfiction,2023-01-22,1
6,SAPIENS,Yuval Noah Harari,Harper Perennial,0062316117,9780062316110,Paperback Nonfiction,2023-01-22,195
7,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",0374533555,9780374533557,Paperback Nonfiction,2023-01-22,344
8,THE JANUARY 6TH REPORT,the January 6 Select Committee,Random House,0593597273,9780593597279,Paperback Nonfiction,2023-01-22,1
9,BORN A CRIME,Trevor Noah,One World,0399588191,9780399588198,Paperback Nonfiction,2023-01-22,182
10,EDUCATED,Tara Westover,Random House,0399590528,9780399590528,Paperback Nonfiction,2023-01-22,39
11,THE JANUARY 6 REPORT,the Select Committee to Investigate the Attack on the U.S. Capitol,Twelve,1538742152,9781538742150,Paperback Nonfiction,2023-01-22,2
12,HOW THE WORD IS PASSED,Clint Smith,Back Bay,0316492922,9780316492928,Paperback Nonfiction,2023-01-22,2
13,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,0316299227,9780316299220,Paperback Nonfiction,2023-01-22,67
14,JUST MERCY,Bryan Stevenson,One World,081298496X,9780812984965,Paperback Nonfiction,2023-01-22,299
15,ATOMIC HABITS,James Clear,Avery,0735211299,9780735211292,Advice How-To and Miscellaneous,2023-01-22,163
16,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,0062976583,9780062976581,Advice How-To and Miscellaneous,2023-01-22,162
17,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,0062457713,9780062457714,Advice How-To and Miscellaneous,2023-01-22,280
18,NEVER FINISHED,David Goggins,Lioncrest,1544534078,9781544534077,Advice How-To and Miscellaneous,2023-01-22,5
19,GO-TO DINNERS,Ina Garten,Clarkson Potter,1984822780,9781984822789,Advice How-To and Miscellaneous,2023-01-22,11
20,FAITH STILL MOVES MOUNTAINS,Harris Faulkner,Broadside,006322593X,9780063225930,Advice How-To and Miscellaneous,2023-01-22,8
21,ATLAS OF THE HEART,Brené Brown,Random House,0399592555,9780399592553,Advice How-To and Miscellaneous,2023-01-22,48
22,CAN'T HURT ME,David Goggins,Lioncrest,1544512279,9781544512273,Advice How-To and Miscellaneous,2023-01-22,30
23,LIGHTER,Yung Pueblo,Harmony,0593233174,9780593233177,Advice How-To and Miscellaneous,2023-01-22,7
24,FINANCIAL FEMINIST,Tori Dunlap,Dey Street,0063260263,9780063260269,Advice How-To and Miscellaneous,2023-01-22,2
25,LITTLE BLUE TRUCK'S VALENTINE,Alice Schertle.,Clarion,0358272440,9780358272441,Picture Books,2023-01-22,15
26,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,0385376715,9780385376716,Picture Books,2023-01-22,335
27,DRAGONS LOVE TACOS,Adam Rubin.,Dial,0803736800,9780803736801,Picture Books,2023-01-22,382
28,THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,0399255370,9780399255373,Picture Books,2023-01-22,345
29,THE SOUR GRAPE,Jory John and Pete Oswald,HarperCollins,0063045419,9780063045415,Picture Books,2023-01-22,9
30,HOW TO CATCH A LOVEOSAURUS,Alice Walstead.,Sourcebooks Wonderland,None,9781728239484,Picture Books,2023-01-22,1
31,GRUMPY MONKEY VALENTINE GROSS-OUT,Suzanne Lang.,Random House Studio,0593486927,9780593486924,Picture Books,2023-01-22,1
32,LOVE FROM THE VERY HUNGRY CATERPILLAR,Eric Carle,Grosset & Dunlap,0448489325,9780448489322,Picture Books,2023-01-22,43
33,LITTLE BLUE TRUCK MAKES A FRIEND,Alice Schertle and Jill McElmurry,Clarion,0358722829,9780358722823,Picture Books,2023-01-22,14
34,I'M SO GLAD YOU WERE BORN,Ainsley Earhardt.,Zonderkidz,031077702X,9780310777021,Picture Books,2023-01-22,10
35,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,141976294X,9781419762949,Series Books,2023-01-22,721
36,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896393,9781984896391,Series Books,2023-01-22,67
37,HARRY POTTER,J.K. Rowling,Scholastic,054579143X,9780545791434,Series Books,2023-01-22,720
38,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",0759555400,9780759555402,Series Books,2023-01-22,19
39,THRONE OF GLASS,Sarah J. Maas,Bloomsbury,1619630346,9781619630345,Series Books,2023-01-22,59
40,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,1416968296,9781416968290,Series Books,2023-01-22,38
41,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1484707230,9781484707234,Series Books,2023-01-22,655
42,FOLK OF THE AIR,Holly Black,"Little, Brown",031631031X,9780316310314,Series Books,2023-01-22,25
43,CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,1338814494,9781338814491,Series Books,2023-01-22,301
44,WINGS OF FIRE,Tui T. Sutherland,Scholastic,0545349230,9780545349239,Series Books,2023-01-22,196
45,THE STOLEN HEIR,Holly Black,"Little, Brown",None,9780316519045,Young Adult Hardcover,2023-01-22,1
46,NICK AND CHARLIE,Alice Oseman,Scholastic,1338885103,9781338885101,Young Adult Hardcover,2023-01-22,1
47,"SONG OF SILVER, FLAME LIKE NIGHT",Amélie Wen Zhao,Delacorte,None,9780593705797,Young Adult Hardcover,2023-01-22,1
