,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,THE NIGHTINGALE,Kristin Hannah,St. Martin's,1466850604,9781466850606,Combined Print and E-Book Fiction,2015-12-20,32
1,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,Putnam,0698410610,9780698410619,Combined Print and E-Book Fiction,2015-12-20,1
2,CROSS JUSTICE,James Patterson,"Little, Brown",0316407046,9780316407045,Combined Print and E-Book Fiction,2015-12-20,2
3,THE CROSSING,Michael Connelly,"Little, Brown",0316225894,9780316225892,Combined Print and E-Book Fiction,2015-12-20,5
4,ROGUE LAWYER,John Grisham,Doubleday,0385539436,9780385539432,Combined Print and E-Book Fiction,2015-12-20,7
5,THE GUILTY,David Baldacci,Grand Central,1455586420,9781455586424,Combined Print and E-Book Fiction,2015-12-20,3
6,BLOOD KISS,J R Ward,Signet,,9780698193277,Combined Print and E-Book Fiction,2015-12-20,1
7,THE MARTIAN,Andy Weir,Crown,0553418025,9780553418026,Combined Print and E-Book Fiction,2015-12-20,28
8,GO SET A WATCHMAN,Harper Lee,Harper,0062409875,9780062409874,Combined Print and E-Book Fiction,2015-12-20,13
9,TRICKY TWENTY-TWO,Janet Evanovich,Bantam,0345542967,9780345542960,Combined Print and E-Book Fiction,2015-12-20,3
10,PRECIOUS GIFTS,Danielle Steel,Delacorte,0804179646,9780804179645,Combined Print and E-Book Fiction,2015-12-20,1
11,SEE ME,Nicholas Sparks,Grand Central,1455520616,9781455520619,Combined Print and E-Book Fiction,2015-12-20,8
12,THE BAZAAR OF BAD DREAMS,Stephen King,Scribner,1501111671,9781501111679,Combined Print and E-Book Fiction,2015-12-20,5
13,THE GOOD GIRL,Mary Kubica,Mira,1460330196,9781460330197,Combined Print and E-Book Fiction,2015-12-20,2
14,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,1476746583,9781476746586,Combined Print and E-Book Fiction,2015-12-20,63
15,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,1594633665,9781594633669,Combined Print and E-Book Fiction,2015-12-20,0
16,THE STORIED LIFE OF A. J. FIKRY,Gabrielle Zevin,Algonquin,1616203943,9781616203948,Combined Print and E-Book Fiction,2015-12-20,0
17,SWEET RUIN,Kresley Cole,Gallery,1451650043,9781451650044,Combined Print and E-Book Fiction,2015-12-20,0
18,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,Harper/HarperCollins,0062294415,9780062294418,Combined Print and E-Book Fiction,2015-12-20,0
19,THE MAN IN THE HIGH CASTLE,Philip K Dick,Mariner,0547572484,9780547572482,Combined Print and E-Book Fiction,2015-12-20,0
20,HUMANS OF NEW YORK: STORIES,Brandon Stanton,St. Martin's,1250058902,9781250058904,Combined Print and E-Book Nonfiction,2015-12-20,5
21,KILLING REAGAN,Bill O'Reilly and Martin Dugard,Holt,1627792414,9781627792417,Combined Print and E-Book Nonfiction,2015-12-20,11
22,THOMAS JEFFERSON AND THE TRIPOLI PIRATES,Brian Kilmeade and Don Yaeger,Sentinel,1591848067,9781591848066,Combined Print and E-Book Nonfiction,2015-12-20,5
23,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,Spiegel & Grau,0812993543,9780812993547,Combined Print and E-Book Nonfiction,2015-12-20,21
24,DESTINY AND POWER,Jon Meacham,Random House,1400067650,9781400067657,Combined Print and E-Book Nonfiction,2015-12-20,4
25,BOYS IN THE TREES,Carly Simon,Flatiron,1250095891,9781250095893,Combined Print and E-Book Nonfiction,2015-12-20,2
26,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,0143125478,9780143125471,Combined Print and E-Book Nonfiction,2015-12-20,81
27,WHY NOT ME?,Mindy Kaling,Crown Archetype,0804138141,9780804138147,Combined Print and E-Book Nonfiction,2015-12-20,12
28,TROUBLEMAKER,Leah Remini and Rebecca Paley,Ballantine,110188696X,9781101886960,Combined Print and E-Book Nonfiction,2015-12-20,5
29,SPQR,Mary Beard,Liveright,0871404230,9780871404237,Combined Print and E-Book Nonfiction,2015-12-20,3
30,THE WITCHES,Stacy Schiff,"Little, Brown",0316200603,9780316200608,Combined Print and E-Book Nonfiction,2015-12-20,6
31,WHAT IF?,Randall Munroe,Houghton Mifflin Harcourt,0544272994,9780544272996,Combined Print and E-Book Nonfiction,2015-12-20,18
32,HUMANS OF NEW YORK,Brandon Stanton,St. Martin's,1250038820,9781250038821,Combined Print and E-Book Nonfiction,2015-12-20,11
33,THE WRIGHT BROTHERS,David McCullough,Simon & Schuster,1476728747,9781476728742,Combined Print and E-Book Nonfiction,2015-12-20,25
34,SUCH GOOD GIRLS,R D Rosen,Harper,0062297120,9780062297129,Combined Print and E-Book Nonfiction,2015-12-20,1
35,I AM MALALA,Malala Yousafzai with Christina Lamb,"Little, Brown",0316322423,9780316322423,Combined Print and E-Book Nonfiction,2015-12-20,0
36,IN THE HEART OF THE SEA,Nathaniel Philbrick,Penguin,0143126814,9780143126812,Combined Print and E-Book Nonfiction,2015-12-20,0
37,CRIPPLED AMERICA,Donald J Trump,Threshold Editions,1501137964,9781501137969,Combined Print and E-Book Nonfiction,2015-12-20,0
38,LIGHTS OUT,Ted Koppel,Crown,055341996X,9780553419962,Combined Print and E-Book Nonfiction,2015-12-20,0
39,YES PLEASE,Amy Poehler,Dey Street/Morrow,006226835X,9780062268358,Combined Print and E-Book Nonfiction,2015-12-20,0
40,ROGUE LAWYER,John Grisham,Doubleday,0385539436,9780385539432,Hardcover Fiction,2015-12-20,7
41,CROSS JUSTICE,James Patterson,"Little, Brown",0316407046,9780316407045,Hardcover Fiction,2015-12-20,2
42,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,Putnam,0399176764,9780399176760,Hardcover Fiction,2015-12-20,1
43,THE BAZAAR OF BAD DREAMS,Stephen King,Scribner,1501111671,9781501111679,Hardcover Fiction,2015-12-20,5
44,THE GUILTY,David Baldacci,Grand Central,1455586420,9781455586424,Hardcover Fiction,2015-12-20,3
45,SEE ME,Nicholas Sparks,Grand Central,1455520616,9781455520619,Hardcover Fiction,2015-12-20,8
46,TRICKY TWENTY-TWO,Janet Evanovich,Bantam,0345542967,9780345542960,Hardcover Fiction,2015-12-20,3
47,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,1476746583,9781476746586,Hardcover Fiction,2015-12-20,83
48,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,Harper,0062294415,9780062294418,Hardcover Fiction,2015-12-20,4
49,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,1594633665,9781594633669,Hardcover Fiction,2015-12-20,47
50,GO SET A WATCHMAN,Harper Lee,Harper,0062409859,9780062409850,Hardcover Fiction,2015-12-20,20
51,THE CROSSING,Michael Connelly,"Little, Brown",0316225886,9780316225885,Hardcover Fiction,2015-12-20,5
52,THE NIGHTINGALE,Kristin Hannah,St. Martin's,0312577222,9780312577223,Hardcover Fiction,2015-12-20,40
53,PRECIOUS GIFTS,Danielle Steel,Delacorte,0345531035,9780345531032,Hardcover Fiction,2015-12-20,1
54,A KNIGHT OF THE SEVEN KINGDOMS,George R R Martin,Bantam,0345533488,9780345533487,Hardcover Fiction,2015-12-20,6
55,ALL DRESSED IN WHITE,Mary Higgins Clark and Alafair Burke,Simon & Schuster,1501108557,9781501108556,Hardcover Fiction,2015-12-20,0
56,THE IMMORTAL NICHOLAS,Glenn Beck,Threshold Editions/Mercury Radio Arts,1476798842,9781476798844,Hardcover Fiction,2015-12-20,0
57,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,Knopf,0385354282,9780385354288,Hardcover Fiction,2015-12-20,0
