,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
48,LIVE WIRE,Kelly Ripa,Dey Street,0063073307,9780063073302,Hardcover Nonfiction,2022-10-23,2
49,STARRY MESSENGER,Neil deGrasse Tyson,Holt,1250861500,9781250861504,Hardcover Nonfiction,2022-10-23,3
50,ADRIFT,Scott Galloway,Portfolio,0593542401,9780593542408,Hardcover Nonfiction,2022-10-23,2
51,THE MYTH OF NORMAL,Gabor Maté with Daniel Maté,Avery,0593083881,9780593083888,Hardcover Nonfiction,2022-10-23,4
52,IF YOU WANT SOMETHING DONE,Nikki R. Haley,St. Martin's,125028497X,9781250284976,Hardcover Nonfiction,2022-10-23,1
53,WHAT IF? 2,Randall Munroe,Riverhead,0525537112,9780525537113,Hardcover Nonfiction,2022-10-23,4
54,DINNERS WITH RUTH,Nina Totenberg,Simon & Schuster,1982188081,9781982188085,Hardcover Nonfiction,2022-10-23,4
55,THE DIVIDER,Peter Baker and Susan Glasser,Doubleday,038554653X,9780385546539,Hardcover Nonfiction,2022-10-23,3
56,THE MOSQUITO BOWL,Buzz Bissinger,Harper,0062879928,9780062879929,Hardcover Nonfiction,2022-10-23,4
57,GRACE,Cody Keenan,Mariner,0358651891,9780358651895,Hardcover Nonfiction,2022-10-23,1
58,WHEN MCKINSEY COMES TO TOWN,Walt Bogdanich and Michael Forsythe,Doubleday,0385546238,9780385546232,Hardcover Nonfiction,2022-10-23,1
59,FINDING ME,Viola Davis,HarperOne,0063037327,9780063037328,Hardcover Nonfiction,2022-10-23,24
60,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Trade Fiction Paperback,2022-10-23,75
61,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Trade Fiction Paperback,2022-10-23,61
62,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Trade Fiction Paperback,2022-10-23,80
63,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Trade Fiction Paperback,2022-10-23,63
64,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Trade Fiction Paperback,2022-10-23,83
65,NOVEMBER 9,Colleen Hoover,Atria,1501110349,9781501110344,Trade Fiction Paperback,2022-10-23,47
66,MAYBE NOW,Colleen Hoover,Atria,1668013347,9781668013342,Trade Fiction Paperback,2022-10-23,3
67,MAYBE SOMEDAY,Colleen Hoover,Atria,1476753164,9781476753164,Trade Fiction Paperback,2022-10-23,12
68,THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9781250301703,Trade Fiction Paperback,2022-10-23,60
69,ALL YOUR PERFECTS,Colleen Hoover,Atria,1501193325,9781501193323,Trade Fiction Paperback,2022-10-23,25
70,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,194563183X,9781945631832,Trade Fiction Paperback,2022-10-23,1
71,CONFESS,Colleen Hoover,Atria,1476791457,9781476791456,Trade Fiction Paperback,2022-10-23,13
72,CLOUD CUCKOO LAND,Anthony Doerr,Scribner,1982168447,9781982168445,Trade Fiction Paperback,2022-10-23,2
73,FIRE AND BLOOD,George R.R. Martin,Bantam,0593598008,9780593598009,Trade Fiction Paperback,2022-10-23,4
74,LUCKIEST GIRL ALIVE,Jessica Knoll,Simon & Schuster,1476789649,9781476789644,Trade Fiction Paperback,2022-10-23,12
75,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Paperback Nonfiction,2022-10-23,207
76,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Paperback Nonfiction,2022-10-23,44
77,THE DAUGHTER OF AUSCHWITZ,Tova Friedman and Malcolm Brabant,Hanover Square,1335449302,9781335449306,Paperback Nonfiction,2022-10-23,5
78,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Paperback Nonfiction,2022-10-23,130
79,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,0316299227,9780316299220,Paperback Nonfiction,2022-10-23,54
80,GETTING LOST,Annie Ernaux,Seven Stories,1644212196,9781644212196,Paperback Nonfiction,2022-10-23,1
81,THE GREATEST BEER RUN EVER,John “Chick” Donohue and J.T. Molloy,Morrow,0063285320,9780063285323,Paperback Nonfiction,2022-10-23,13
82,VANDERBILT,Anderson Cooper and Katherine Howe,Harper,0062964623,9780062964625,Paperback Nonfiction,2022-10-23,3
83,FUZZ,Mary Roach,Norton,1324036125,9781324036128,Paperback Nonfiction,2022-10-23,6
84,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",0374533555,9780374533557,Paperback Nonfiction,2022-10-23,336
85,THE BOMBER MAFIA,Malcolm Gladwell,Back Bay,0316296813,9780316296816,Paperback Nonfiction,2022-10-23,18
86,GRIT,Angela Duckworth,Scribner,1501111116,9781501111112,Paperback Nonfiction,2022-10-23,127
87,ACID FOR THE CHILDREN,Flea,Grand Central,1455530549,9781455530540,Paperback Nonfiction,2022-10-23,2
88,BORN A CRIME,Trevor Noah,One World,0399588191,9780399588198,Paperback Nonfiction,2022-10-23,177
89,A CARNIVAL OF SNACKERY,David Sedaris,Back Bay,0316270180,9780316270182,Paperback Nonfiction,2022-10-23,1
90,LIGHTER,Yung Pueblo,Harmony,0593233174,9780593233177,Advice How-To and Miscellaneous,2022-10-23,1
91,ATOMIC HABITS,James Clear,Avery,0735211299,9780735211292,Advice How-To and Miscellaneous,2022-10-23,150
92,THE LOVE PRESCRIPTION,John Gottman and Julie Schwartz Gottman,Penguin Life,0143136631,9780143136637,Advice How-To and Miscellaneous,2022-10-23,2
93,DISCIPLINE IS DESTINY,Ryan Holiday,Portfolio,0593191692,9780593191699,Advice How-To and Miscellaneous,2022-10-23,2
94,JACQUES PÉPIN: ART OF THE CHICKEN,Jacques Pépin,Harvest,0358654513,9780358654513,Advice How-To and Miscellaneous,2022-10-23,2
95,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,0062976583,9780062976581,Advice How-To and Miscellaneous,2022-10-23,149
96,GOOD INSIDE,Becky Kennedy,Harper Wave,0063159481,9780063159488,Advice How-To and Miscellaneous,2022-10-23,4
97,COOKING FROM THE SPIRIT,Tabitha Brown,Morrow,006308032X,9780063080324,Advice How-To and Miscellaneous,2022-10-23,1
98,PREPPY KITCHEN,John Kanell with Rachel Holtzman,Simon Element,198217837X,9781982178376,Advice How-To and Miscellaneous,2022-10-23,1
99,THE RETURN OF THE GODS,Jonathan Cahn,Frontline,1636411428,9781636411422,Advice How-To and Miscellaneous,2022-10-23,5
100,I'M SO GLAD YOU WERE BORN,Ainsley Earhardt.,Zonderkidz,031077702X,9780310777021,Picture Books,2022-10-23,2
101,BUSY BETTY,Reese Witherspoon.,Flamingo,0593465881,9780593465882,Picture Books,2022-10-23,1
102,CREEPY CRAYON!,Aaron Reynolds.,Simon & Schuster,153446588X,9781534465886,Picture Books,2022-10-23,7
103,"THE BAD SEED PRESENTS: THE GOOD, THE BAD, AND THE SPOOKY",Jory John.,HarperCollins,0062954547,9780062954541,Picture Books,2022-10-23,16
104,THE LEAF THIEF,Alice Hemming.,Sourcebooks Jabberwocky,None,9781728269894,Picture Books,2022-10-23,2
105,PIG THE MONSTER,Aaron Blabey,Scholastic,1338764012,9781338764017,Picture Books,2022-10-23,6
106,HOW TO CATCH A WITCH,Alice Walstead.,Sourcebooks Wonderland,1728210356,9781728210353,Picture Books,2022-10-23,5
107,HOW TO CATCH A MONSTER,Adam Wallace.,Sourcebooks Jabberwocky,1492648949,9781492648949,Picture Books,2022-10-23,4
108,THE CRAYONS TRICK OR TREAT,Drew Daywalt.,Philomel,0593621026,9780593621028,Picture Books,2022-10-23,5
109,THE PIGEON WILL RIDE THE ROLLER COASTER!,Mo Willems,Union Square Kids,1454946865,9781454946861,Picture Books,2022-10-23,5
110,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,1419749153,9781419749155,Series Books,2022-10-23,708
111,HARRY POTTER,J.K. Rowling,Scholastic,054579143X,9780545791434,Series Books,2022-10-23,707
112,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",0759555400,9780759555402,Series Books,2022-10-23,6
113,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,1416995560,9781416995562,Series Books,2022-10-23,25
114,KINGDOM OF THE WICKED,Kerri Maniscalco,"Little, Brown",0316341886,9780316341882,Series Books,2022-10-23,2
115,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896393,9781984896391,Series Books,2022-10-23,54
116,THE LAST KIDS ON EARTH,Max Brallier.,Viking,0593405234,9780593405239,Series Books,2022-10-23,115
117,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1484707230,9781484707234,Series Books,2022-10-23,643
118,A TWISTED TALE,Liz Braswell,Disney-Hyperion,1368077560,9781368077569,Series Books,2022-10-23,17
119,WINGS OF FIRE,Tui T. Sutherland,Scholastic,0545349230,9780545349239,Series Books,2022-10-23,184
120,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,0063240807,9780063240803,Young Adult Hardcover,2022-10-23,1
121,LONG LIVE THE PUMPKIN QUEEN,Shea Ernshaw,Disney,1368069606,9781368069601,Young Adult Hardcover,2022-10-23,10
122,HOCUS POCUS: The Illustrated Novelization,A.W. Jantha.,Disney,1368076688,9781368076685,Young Adult Hardcover,2022-10-23,6
123,FOUL LADY FORTUNE,Chloe Gong,Margaret K. McElderry,1665905581,9781665905589,Young Adult Hardcover,2022-10-23,2
124,THE GIRL IN THE CASTLE,James Patterson and Emily Raymond,jimmy patterson,0316411728,9780316411721,Young Adult Hardcover,2022-10-23,3
125,THE BALLAD OF NEVER AFTER,Stephanie Garber,Flatiron,1250268427,9781250268426,Young Adult Hardcover,2022-10-23,4
126,ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9781524714680,Young Adult Hardcover,2022-10-23,245
127,NOTHING MORE TO TELL,Karen M. McManus,Delacorte,0593175905,9780593175903,Young Adult Hardcover,2022-10-23,6
128,LIGHTLARK,Alex Aster,Amulet,1419760866,9781419760860,Young Adult Hardcover,2022-10-23,7
129,A SCATTER OF LIGHT,Malinda Lo,Dutton,0525555285,9780525555285,Young Adult Hardcover,2022-10-23,1
130,FAIRY TALE,Stephen King,Scribner,1668002175,9781668002179,Combined Print and E-Book Fiction,2022-09-25,1
131,DESPERATION IN DEATH,J.D. Robb,St. Martin's,1250278244,9781250278241,Combined Print and E-Book Fiction,2022-09-25,1
132,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2022-09-25,40
133,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2022-09-25,65
134,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Combined Print and E-Book Fiction,2022-09-25,177
135,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,1635577993,9781635577990,Combined Print and E-Book Fiction,2022-09-25,3
136,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Combined Print and E-Book Fiction,2022-09-25,35
137,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2022-09-25,63
138,NOVEMBER 9,Colleen Hoover,Atria,1501110349,9781501110344,Combined Print and E-Book Fiction,2022-09-25,25
139,THE AMERICAN ROOMMATE EXPERIMENT,Elena Armas,Atria,1668002779,9781668002773,Combined Print and E-Book Fiction,2022-09-25,1
