,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
1984,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,0765387565,9780765387561,Hardcover Fiction,2020-11-22,5
1985,THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,"Little, Brown",0316541613,9780316541619,Hardcover Fiction,2020-11-22,2
1986,THE VANISHING HALF,Brit Bennett,Riverhead,0525536299,9780525536291,Hardcover Fiction,2020-11-22,23
1987,THE EVENING AND THE MORNING,Ken Follett,Viking,0525954988,9780525954989,Hardcover Fiction,2020-11-22,8
1988,THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,Random House,0593133846,9780593133842,Hardcover Fiction,2020-11-22,2
1989,THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,198481835X,9781984818355,Hardcover Fiction,2020-11-22,7
1990,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219095,9780735219090,Hardcover Fiction,2020-11-22,114
1991,ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9781501160837,Hardcover Fiction,2020-11-22,9
1992,WHITE IVY,Susie Yang,Simon & Schuster,1982100591,9781982100599,Hardcover Fiction,2020-11-22,1
1993,THE SEARCHER,Tana French,Viking,073522465X,9780735224650,Hardcover Fiction,2020-11-22,5
1994,LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,0062667637,9780062667632,Hardcover Fiction,2020-11-22,5
1995,CLANLANDS,Sam Heughan and Graham McTavish,Mobius,1529342007,9781529342000,Hardcover Nonfiction,2020-11-22,1
1996,GREENLIGHTS,Matthew McConaughey,Crown,0593139135,9780593139134,Hardcover Nonfiction,2020-11-22,3
1997,THE BEST OF ME,David Sedaris,"Little, Brown",0316628247,9780316628242,Hardcover Nonfiction,2020-11-22,1
1998,CASTE,Isabel Wilkerson,Random House,0593230256,9780593230251,Hardcover Nonfiction,2020-11-22,14
1999,UNTAMED,Glennon Doyle,Dial,1984801252,9781984801258,Hardcover Nonfiction,2020-11-22,35
2000,SHADE,Pete Souza,"Little, Brown",0316421820,9780316421829,Hardcover Nonfiction,2020-11-22,14
2001,OBAMA,Pete Souza,"Little, Brown",0316512583,9780316512589,Hardcover Nonfiction,2020-11-22,25
2002,KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Holt,1627797041,9781627797047,Hardcover Nonfiction,2020-11-22,9
2003,BLACKOUT,Candace Owens,Threshold Editions,1982133279,9781982133276,Hardcover Nonfiction,2020-11-22,8
2004,HOW TO BE AN ANTIRACIST,Ibram X. Kendi,One World,0525509283,9780525509288,Hardcover Nonfiction,2020-11-22,36
2005,ELEANOR,David Michaelis,Simon & Schuster,1439192014,9781439192016,Hardcover Nonfiction,2020-11-22,1
2006,HUMANS,Brandon Stanton,St. Martin's,1250114292,9781250114297,Hardcover Nonfiction,2020-11-22,4
2007,IS THIS ANYTHING?,Jerry Seinfeld,Simon & Schuster,1982112697,9781982112691,Hardcover Nonfiction,2020-11-22,5
2008,OUR TIME IS NOW,Stacey Abrams,Holt,1250257700,9781250257703,Hardcover Nonfiction,2020-11-22,2
2009,RAGE,Bob Woodward,Simon & Schuster,198213173X,9781982131739,Hardcover Nonfiction,2020-11-22,8
2010,THEN SHE WAS GONE,Lisa Jewell,Atria,1501154656,9781501154652,Trade Fiction Paperback,2020-11-22,69
2011,THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,Grand Central,1538715945,9781538715949,Trade Fiction Paperback,2020-11-22,4
2012,WALK THE WIRE,David Baldacci,Grand Central,1538761475,9781538761472,Trade Fiction Paperback,2020-11-22,5
2013,THE BOY FROM THE WOODS,Harlan Coben,Grand Central,1538748207,9781538748206,Trade Fiction Paperback,2020-11-22,3
2014,THE INSTITUTE,Stephen King,Gallery,1982110589,9781982110581,Trade Fiction Paperback,2020-11-22,10
2015,THIS TENDER LAND,William Kent Krueger,Atria,1476749302,9781476749303,Trade Fiction Paperback,2020-11-22,19
2016,CIRCE,Madeline Miller,Back Bay,0316556327,9780316556323,Trade Fiction Paperback,2020-11-22,23
2017,MISS BENSON'S BEETLE,Rachel Joyce,Dial,0812996704,9780812996708,Trade Fiction Paperback,2020-11-22,1
2018,THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9780385490818,Trade Fiction Paperback,2020-11-22,137
2019,COMFORT & JOY,Kristin Hannah,Ballantine,1984800841,9781984800848,Trade Fiction Paperback,2020-11-22,1
2020,THE WITCH HUNTER,Max Seeck,Berkley,0593199669,9780593199664,Trade Fiction Paperback,2020-11-22,1
2021,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin,0735224315,9780735224315,Trade Fiction Paperback,2020-11-22,79
2022,THE OVERSTORY,Richard Powers,Norton,039335668X,9780393356687,Trade Fiction Paperback,2020-11-22,68
2023,THE NIGHTINGALE,Kristin Hannah,St. Martin's Griffin,1250080401,9781250080400,Trade Fiction Paperback,2020-11-22,61
2024,WHEN NO ONE IS WATCHING,Alyssa Cole,Morrow,0062982656,9780062982650,Trade Fiction Paperback,2020-11-22,2
2025,WHITE FRAGILITY,Robin DiAngelo,Beacon,0807047414,9780807047415,Paperback Nonfiction,2020-11-22,114
2026,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,1501145258,9781501145254,Paperback Nonfiction,2020-11-22,16
2027,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Paperback Nonfiction,2020-11-22,107
2028,SHADE,Pete Souza,"Voracious/Little, Brown",031645821X,9780316458214,Paperback Nonfiction,2020-11-22,3
2029,THE COLOR OF LAW,Richard Rothstein,Liveright,1631494538,9781631494536,Paperback Nonfiction,2020-11-22,28
2030,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,Vintage,0679763880,9780679763888,Paperback Nonfiction,2020-11-22,45
2031,THE TRUTHS WE HOLD,Kamala Harris,Penguin,0525560734,9780525560739,Paperback Nonfiction,2020-11-22,7
2032,CONVERSATIONS WITH RBG,Jeffrey Rosen,Picador,1250762642,9781250762641,Paperback Nonfiction,2020-11-22,1
2033,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Paperback Nonfiction,2020-11-22,30
2034,JUST MERCY,Bryan Stevenson,One World,081298496X,9780812984965,Paperback Nonfiction,2020-11-22,230
2035,THE NEW JIM CROW,Michelle Alexander,New Press,1620971933,9781620971932,Paperback Nonfiction,2020-11-22,211
2036,LEAD FROM THE OUTSIDE,Stacey Abrams,Picador,1250214807,9781250214805,Paperback Nonfiction,2020-11-22,6
2037,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,Seal,1580058825,9781580058827,Paperback Nonfiction,2020-11-22,25
2038,WHAT UNITES US,Dan Rather and Elliot Kirschner,Algonquin,1616209941,9781616209940,Paperback Nonfiction,2020-11-22,4
2039,BORN A CRIME,Trevor Noah,One World,0399588191,9780399588198,Paperback Nonfiction,2020-11-22,91
2040,MODERN COMFORT FOOD,Ina Garten,Clarkson Potter,0804187061,9780804187060,Advice How-To and Miscellaneous,2020-11-22,5
2041,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,0062976583,9780062976581,Advice How-To and Miscellaneous,2020-11-22,49
2042,THINK LIKE A MONK,Jay Shetty,Simon & Schuster,1982134488,9781982134488,Advice How-To and Miscellaneous,2020-11-22,9
2043,DIDN'T SEE THAT COMING,Rachel Hollis,Dey St.,0063010526,9780063010529,Advice How-To and Miscellaneous,2020-11-22,6
2044,ATOMIC HABITS,James Clear,Avery,0735211299,9780735211292,Advice How-To and Miscellaneous,2020-11-22,50
2045,"MAGNOLIA TABLE, VOL. 2",Joanna Gaines,Morrow,0062820184,9780062820181,Advice How-To and Miscellaneous,2020-11-22,24
2046,THE FIVE LOVE LANGUAGES,Gary Chapman,Northfield,080241270X,9780802412706,Advice How-To and Miscellaneous,2020-11-22,326
