,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Combined Print and E-Book Fiction,2023-04-09,23
1,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Combined Print and E-Book Fiction,2023-04-09,20
2,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9781524798642,Combined Print and E-Book Fiction,2023-04-09,12
3,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2023-04-09,93
4,COUNTDOWN,James Patterson and Brendan DuBois,"Little, Brown",031645737X,9780316457378,Combined Print and E-Book Fiction,2023-04-09,1
5,I WILL FIND YOU,Harlan Coben,Grand Central,1538748363,9781538748367,Combined Print and E-Book Fiction,2023-04-09,2
6,HELLO BEAUTIFUL,Ann Napolitano,Dial,0593243730,9780593243732,Combined Print and E-Book Fiction,2023-04-09,2
7,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2023-04-09,90
8,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2023-04-09,68
9,NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9781335004888,Combined Print and E-Book Fiction,2023-04-09,4
10,THE LAST THING HE TOLD ME,Laura Dave,Marysue Rucci,1501171356,9781501171352,Combined Print and E-Book Fiction,2023-04-09,37
11,SMOLDER,Laurell K. Hamilton,Berkley,1984804510,9781984804518,Combined Print and E-Book Fiction,2023-04-09,1
12,THE WHITE LADY,Jacqueline Winspear,Harper,0062868004,9780062868008,Combined Print and E-Book Fiction,2023-04-09,1
13,HEART BONES,Colleen Hoover,Atria,1668021919,9781668021910,Combined Print and E-Book Fiction,2023-04-09,8
14,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,0593321200,9780593321201,Combined Print and E-Book Fiction,2023-04-09,15
15,"POVERTY, BY AMERICA",Matthew Desmond,Crown,0593239911,9780593239919,Combined Print and E-Book Nonfiction,2023-04-09,1
16,SAVED,Benjamin Hall,Harper,0063309661,9780063309661,Combined Print and E-Book Nonfiction,2023-04-09,2
17,SPARE,Prince Harry,Random House,0593593804,9780593593806,Combined Print and E-Book Nonfiction,2023-04-09,11
18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Combined Print and E-Book Nonfiction,2023-04-09,135
19,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Combined Print and E-Book Nonfiction,2023-04-09,33
20,PARIS,Paris Hilton,Dey Street,0063224623,9780063224629,Combined Print and E-Book Nonfiction,2023-04-09,2
21,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,0063276003,9780063276000,Combined Print and E-Book Nonfiction,2023-04-09,4
22,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Combined Print and E-Book Nonfiction,2023-04-09,19
23,THE BEST STRANGERS IN THE WORLD,Ari Shapiro,HarperOne,0063221349,9780063221345,Combined Print and E-Book Nonfiction,2023-04-09,1
24,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Combined Print and E-Book Nonfiction,2023-04-09,42
25,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Combined Print and E-Book Nonfiction,2023-04-09,72
26,CRYING IN H MART,Michelle Zauner,Knopf,0525657746,9780525657743,Combined Print and E-Book Nonfiction,2023-04-09,53
27,ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9781496472670,Combined Print and E-Book Nonfiction,2023-04-09,5
28,THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9781250777263,Combined Print and E-Book Nonfiction,2023-04-09,9
29,IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,0593238710,9780593238714,Combined Print and E-Book Nonfiction,2023-04-09,5
30,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Hardcover Fiction,2023-04-09,46
31,I WILL FIND YOU,Harlan Coben,Grand Central,1538748363,9781538748367,Hardcover Fiction,2023-04-09,2
32,COUNTDOWN,James Patterson and Brendan DuBois,"Little, Brown",031645737X,9780316457378,Hardcover Fiction,2023-04-09,1
33,HELLO BEAUTIFUL,Ann Napolitano,Dial,0593243730,9780593243732,Hardcover Fiction,2023-04-09,2
34,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,0593321200,9780593321201,Hardcover Fiction,2023-04-09,26
35,PINEAPPLE STREET,Jenny Jackson,Pamela Dorman,059349069X,9780593490693,Hardcover Fiction,2023-04-09,3
36,THE WHITE LADY,Jacqueline Winspear,Harper,0062867989,9780062867988,Hardcover Fiction,2023-04-09,1
37,STORM WATCH,C.J. Box,Putnam,0593331303,9780593331309,Hardcover Fiction,2023-04-09,4
38,DEMON COPPERHEAD,Barbara Kingsolver,Harper,0063251922,9780063251922,Hardcover Fiction,2023-04-09,23
39,SMOLDER,Laurell K. Hamilton,Berkley,1984804499,9781984804495,Hardcover Fiction,2023-04-09,1
40,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,Ecco,0063204150,9780063204157,Hardcover Fiction,2023-04-09,10
41,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,1984879294,9781984879295,Hardcover Fiction,2023-04-09,7
42,I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai,Viking,0593490142,9780593490143,Hardcover Fiction,2023-04-09,5
43,WORTHY OPPONENTS,Danielle Steel,Delacorte,1984821806,9781984821805,Hardcover Fiction,2023-04-09,3
44,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9781984818386,Hardcover Fiction,2023-04-09,25
45,"POVERTY, BY AMERICA",Matthew Desmond,Crown,0593239911,9780593239919,Hardcover Nonfiction,2023-04-09,1
46,SAVED,Benjamin Hall,Harper,0063309661,9780063309661,Hardcover Nonfiction,2023-04-09,2
47,SPARE,Prince Harry,Random House,0593593804,9780593593806,Hardcover Nonfiction,2023-04-09,11
48,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Hardcover Nonfiction,2023-04-09,33
49,PARIS,Paris Hilton,Dey Street,0063224623,9780063224629,Hardcover Nonfiction,2023-04-09,2
50,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,0063276003,9780063276000,Hardcover Nonfiction,2023-04-09,4
51,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Hardcover Nonfiction,2023-04-09,19
52,THE BEST STRANGERS IN THE WORLD,Ari Shapiro,HarperOne,0063221349,9780063221345,Hardcover Nonfiction,2023-04-09,1
53,THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9781250777263,Hardcover Nonfiction,2023-04-09,10
54,IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,0593238710,9780593238714,Hardcover Nonfiction,2023-04-09,5
55,YOUR BRAIN ON ART,Susan Magsamen and Ivy Ross,Random House,0593449231,9780593449233,Hardcover Nonfiction,2023-04-09,1
56,ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9781496472670,Hardcover Nonfiction,2023-04-09,5
57,WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",0316406600,9780316406604,Hardcover Nonfiction,2023-04-09,6
58,WAKE UP WITH PURPOSE!,Sister Jean Dolores Schmidt with Seth Davis,Harper Select,1400333512,9781400333516,Hardcover Nonfiction,2023-04-09,4
59,CRYING IN H MART,Michelle Zauner,Knopf,0525657746,9780525657743,Hardcover Nonfiction,2023-04-09,67
60,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Trade Fiction Paperback,2023-04-09,23
61,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Trade Fiction Paperback,2023-04-09,99
62,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9781524798642,Trade Fiction Paperback,2023-04-09,19
63,NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9781335004888,Trade Fiction Paperback,2023-04-09,4
