Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9.78167E+12,Combined Print and E-Book Fiction,4/9/2023,23
LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9.78039E+12,Combined Print and E-Book Fiction,4/9/2023,20
DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9.78152E+12,Combined Print and E-Book Fiction,4/9/2023,12
IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9.7815E+12,Combined Print and E-Book Fiction,4/9/2023,93
COUNTDOWN,James Patterson and Brendan DuBois,"Little, Brown",031645737X,9.78032E+12,Combined Print and E-Book Fiction,4/9/2023,1
I WILL FIND YOU,Harlan Coben,Grand Central,1538748363,9.78154E+12,Combined Print and E-Book Fiction,4/9/2023,2
HELLO BEAUTIFUL,Ann Napolitano,Dial,593243730,9.78059E+12,Combined Print and E-Book Fiction,4/9/2023,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9.7815E+12,Combined Print and E-Book Fiction,4/9/2023,90
VERITY,Colleen Hoover,Grand Central,1538724731,9.78154E+12,Combined Print and E-Book Fiction,4/9/2023,68
NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9.78134E+12,Combined Print and E-Book Fiction,4/9/2023,4
THE LAST THING HE TOLD ME,Laura Dave,Marysue Rucci,1501171356,9.7815E+12,Combined Print and E-Book Fiction,4/9/2023,37
SMOLDER,Laurell K. Hamilton,Berkley,1984804510,9.78198E+12,Combined Print and E-Book Fiction,4/9/2023,1
THE WHITE LADY,Jacqueline Winspear,Harper,62868004,9.78006E+12,Combined Print and E-Book Fiction,4/9/2023,1
HEART BONES,Colleen Hoover,Atria,1668021919,9.78167E+12,Combined Print and E-Book Fiction,4/9/2023,8
"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,593321200,9.78059E+12,Combined Print and E-Book Fiction,4/9/2023,15
"POVERTY, BY AMERICA",Matthew Desmond,Crown,593239911,9.78059E+12,Combined Print and E-Book Nonfiction,4/9/2023,1
SAVED,Benjamin Hall,Harper,63309661,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,2
SPARE,Prince Harry,Random House,593593804,9.78059E+12,Combined Print and E-Book Nonfiction,4/9/2023,11
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,143127748,9.78014E+12,Combined Print and E-Book Nonfiction,4/9/2023,135
I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9.78198E+12,Combined Print and E-Book Nonfiction,4/9/2023,33
PARIS,Paris Hilton,Dey Street,63224623,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,2
THE COURAGE TO BE FREE,Ron DeSantis,Broadside,63276003,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,4
THE LIGHT WE CARRY,Michelle Obama,Crown,593237463,9.78059E+12,Combined Print and E-Book Nonfiction,4/9/2023,19
THE BEST STRANGERS IN THE WORLD,Ari Shapiro,HarperOne,63221349,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,1
ALL ABOUT LOVE,bell hooks,Morrow,60959479,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,42
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9.78157E+12,Combined Print and E-Book Nonfiction,4/9/2023,72
CRYING IN H MART,Michelle Zauner,Knopf,525657746,9.78053E+12,Combined Print and E-Book Nonfiction,4/9/2023,53
ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9.7815E+12,Combined Print and E-Book Nonfiction,4/9/2023,5
THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9.78125E+12,Combined Print and E-Book Nonfiction,4/9/2023,9
IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,593238710,9.78059E+12,Combined Print and E-Book Nonfiction,4/9/2023,5
LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9.78039E+12,Hardcover Fiction,4/9/2023,46
I WILL FIND YOU,Harlan Coben,Grand Central,1538748363,9.78154E+12,Hardcover Fiction,4/9/2023,2
COUNTDOWN,James Patterson and Brendan DuBois,"Little, Brown",031645737X,9.78032E+12,Hardcover Fiction,4/9/2023,1
HELLO BEAUTIFUL,Ann Napolitano,Dial,593243730,9.78059E+12,Hardcover Fiction,4/9/2023,2
"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,593321200,9.78059E+12,Hardcover Fiction,4/9/2023,26
PINEAPPLE STREET,Jenny Jackson,Pamela Dorman,059349069X,9.78059E+12,Hardcover Fiction,4/9/2023,3
THE WHITE LADY,Jacqueline Winspear,Harper,62867989,9.78006E+12,Hardcover Fiction,4/9/2023,1
