,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,STORM WATCH,C.J. Box,Putnam,0593331311,9780593331316,Combined Print and E-Book Fiction,2023-03-19,1
1,NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9781335004888,Combined Print and E-Book Fiction,2023-03-19,1
2,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Combined Print and E-Book Fiction,2023-03-19,20
3,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Combined Print and E-Book Fiction,2023-03-19,17
4,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2023-03-19,90
5,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9781524798642,Combined Print and E-Book Fiction,2023-03-19,9
6,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2023-03-19,65
7,HEART BONES,Colleen Hoover,Atria,1668021919,9781668021910,Combined Print and E-Book Fiction,2023-03-19,5
8,A DAY OF FALLEN NIGHT,Samantha Shannon,Bloomsbury,1635577926,9781635577921,Combined Print and E-Book Fiction,2023-03-19,1
9,THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,172827611X,9781728276113,Combined Print and E-Book Fiction,2023-03-19,2
10,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2023-03-19,87
11,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,0593321200,9780593321201,Combined Print and E-Book Fiction,2023-03-19,12
12,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Combined Print and E-Book Fiction,2023-03-19,60
13,THE PARIS APARTMENT,Lucy Foley,Morrow,0063003066,9780063003064,Combined Print and E-Book Fiction,2023-03-19,12
14,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,1984879308,9781984879301,Combined Print and E-Book Fiction,2023-03-19,4
15,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,0063276003,9780063276000,Combined Print and E-Book Nonfiction,2023-03-19,1
16,SPARE,Prince Harry,Random House,0593593804,9780593593806,Combined Print and E-Book Nonfiction,2023-03-19,8
17,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Combined Print and E-Book Nonfiction,2023-03-19,132
18,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Combined Print and E-Book Nonfiction,2023-03-19,30
19,ENCHANTMENT,Katherine May,Riverhead,0593329996,9780593329993,Combined Print and E-Book Nonfiction,2023-03-19,1
20,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Combined Print and E-Book Nonfiction,2023-03-19,16
21,IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,0593238710,9780593238714,Combined Print and E-Book Nonfiction,2023-03-19,2
22,ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9781496472670,Combined Print and E-Book Nonfiction,2023-03-19,2
23,WAKE UP WITH PURPOSE!,Sister Jean Dolores Schmidt with Seth Davis,Harper Select,1400333512,9781400333516,Combined Print and E-Book Nonfiction,2023-03-19,1
24,WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",0316406600,9780316406604,Combined Print and E-Book Nonfiction,2023-03-19,4
25,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Combined Print and E-Book Nonfiction,2023-03-19,39
26,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Combined Print and E-Book Nonfiction,2023-03-19,69
27,CASTE,Isabel Wilkerson,Random House,0593230272,9780593230275,Combined Print and E-Book Nonfiction,2023-03-19,60
28,THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9781250777263,Combined Print and E-Book Nonfiction,2023-03-19,8
29,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,0593230574,9780593230572,Combined Print and E-Book Nonfiction,2023-03-19,29
30,STORM WATCH,C.J. Box,Putnam,0593331303,9780593331309,Hardcover Fiction,2023-03-19,1
31,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Hardcover Fiction,2023-03-19,43
32,A DAY OF FALLEN NIGHT,Samantha Shannon,Bloomsbury,1635577926,9781635577921,Hardcover Fiction,2023-03-19,1
33,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,0593321200,9780593321201,Hardcover Fiction,2023-03-19,23
34,I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai,Viking,0593490142,9780593490143,Hardcover Fiction,2023-03-19,2
35,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,1984879294,9781984879295,Hardcover Fiction,2023-03-19,4
36,DEMON COPPERHEAD,Barbara Kingsolver,Harper,0063251922,9780063251922,Hardcover Fiction,2023-03-19,20
37,THE ADVENTURES OF AMINA AL-SIRAFI,Shannon Chakraborty,Harper Voyager,0062963503,9780062963505,Hardcover Fiction,2023-03-19,1
38,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9781984818386,Hardcover Fiction,2023-03-19,22
39,THE BOYS FROM BILOXI,John Grisham,Doubleday,0385548923,9780385548922,Hardcover Fiction,2023-03-19,20
40,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,Ecco,0063204150,9780063204157,Hardcover Fiction,2023-03-19,7
41,THE MIDNIGHT LIBRARY,Matt Haig,Viking,0525559477,9780525559474,Hardcover Fiction,2023-03-19,106
42,FAIRY TALE,Stephen King,Scribner,1668002175,9781668002179,Hardcover Fiction,2023-03-19,26
43,THE HOUSE IN THE PINES,Ana Reyes,Dutton,0593186710,9780593186718,Hardcover Fiction,2023-03-19,9
44,MURDER YOUR EMPLOYER,Rupert Holmes,Avid Reader,1451648219,9781451648218,Hardcover Fiction,2023-03-19,2
45,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,0063276003,9780063276000,Hardcover Nonfiction,2023-03-19,1
46,SPARE,Prince Harry,Random House,0593593804,9780593593806,Hardcover Nonfiction,2023-03-19,8
47,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Hardcover Nonfiction,2023-03-19,30
48,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Hardcover Nonfiction,2023-03-19,16
49,ENCHANTMENT,Katherine May,Riverhead,0593329996,9780593329993,Hardcover Nonfiction,2023-03-19,1
50,IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,0593238710,9780593238714,Hardcover Nonfiction,2023-03-19,2
51,WAKE UP WITH PURPOSE!,Sister Jean Dolores Schmidt with Seth Davis,Harper Select,1400333512,9781400333516,Hardcover Nonfiction,2023-03-19,1
52,ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9781496472670,Hardcover Nonfiction,2023-03-19,2
53,WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",0316406600,9780316406604,Hardcover Nonfiction,2023-03-19,3
54,THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9781250777263,Hardcover Nonfiction,2023-03-19,8
