,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2789,MEASURE WHAT MATTERS,John Doerr,Portfolio/Penguin,0525536221,9780525536222,Hardcover Nonfiction,2018-06-10,5
2790,INTO THE WATER,Paula Hawkins,Riverhead,0735211221,9780735211223,Trade Fiction Paperback,2018-06-10,4
2791,THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9780385490818,Trade Fiction Paperback,2018-06-10,65
2792,LESS,Andrew Sean Greer,Back Bay,031631613X,9780316316132,Trade Fiction Paperback,2018-06-10,1
2793,MILK AND HONEY,Rupi Kaur,Andrews McMeel,144947425X,9781449474256,Trade Fiction Paperback,2018-06-10,111
2794,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,1449486797,9781449486792,Trade Fiction Paperback,2018-06-10,34
2795,CRAZY RICH ASIANS,Kevin Kwan,Anchor,0345803787,9780345803788,Trade Fiction Paperback,2018-06-10,5
2796,TWO KINDS OF TRUTH,Michael Connelly,Grand Central,1455524174,9781455524174,Trade Fiction Paperback,2018-06-10,4
2797,PRINCESS,James Patterson and Rees Jones,Grand Central,1538714434,9781538714430,Trade Fiction Paperback,2018-06-10,2
2798,PACHINKO,Min Jin Lee,Grand Central,1455563927,9781455563920,Trade Fiction Paperback,2018-06-10,17
2799,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,1501173219,9781501173219,Trade Fiction Paperback,2018-06-10,49
2800,COME SUNDOWN,Nora Roberts,St. Martin's Griffin,1250123089,9781250123084,Trade Fiction Paperback,2018-06-10,5
2801,THE COUPLE NEXT DOOR,Shari Lapena,Penguin,0735221103,9780735221109,Trade Fiction Paperback,2018-06-10,25
2802,THE WOMAN IN CABIN 10,Ruth Ware,Scout,1501132954,9781501132957,Trade Fiction Paperback,2018-06-10,51
2803,READY PLAYER ONE,Ernest Cline,Broadway,0307887448,9780307887443,Trade Fiction Paperback,2018-06-10,60
2804,"SING, UNBURIED, SING",Jesmyn Ward,Scribner,1501126075,9781501126079,Trade Fiction Paperback,2018-06-10,3
2805,SAPIENS,Yuval Noah Harari,Harper Perennial,0062316117,9780062316110,Paperback Nonfiction,2018-06-10,2
2806,KILLERS OF THE FLOWER MOON,David Grann,Vintage,0307742482,9780307742483,Paperback Nonfiction,2018-06-10,8
2807,HILLBILLY ELEGY,J.D. Vance,Harper,0062300555,9780062300553,Paperback Nonfiction,2018-06-10,4
2808,JUST MERCY,Bryan Stevenson,Spiegel & Grau,081298496X,9780812984965,Paperback Nonfiction,2018-06-10,105
2809,SHOE DOG,Phil Knight,Scribner,1501135929,9781501135927,Paperback Nonfiction,2018-06-10,4
2810,BEING MORTAL,Atul Gawande,Picador,1250076226,9781250076229,Paperback Nonfiction,2018-06-10,38
2811,EVICTED,Matthew Desmond,Broadway,0553447459,9780553447453,Paperback Nonfiction,2018-06-10,37
2812,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",0374533555,9780374533557,Paperback Nonfiction,2018-06-10,173
2813,THE POWER OF HABIT,Charles Duhigg,Random House,081298160X,9780812981605,Paperback Nonfiction,2018-06-10,117
2814,THE COLOR OF LAW,Richard Rothstein,Liveright,1631494538,9781631494536,Paperback Nonfiction,2018-06-10,4
