,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
916,ONE LAST STOP,Casey McQuiston,St. Martin's Griffin,1250244498,9.78125E+12,Trade Fiction Paperback,7/4/2021,3,4,21
917,IF IT BLEEDS,Stephen King,Scribner,1982137983,9.78198E+12,Trade Fiction Paperback,7/4/2021,2,,
918,THE WARSAW ORPHAN,Kelly Rimmer,Graydon House,1525895990,9.78153E+12,Trade Fiction Paperback,7/4/2021,3,4,7
919,COUNTDOWN 1945,Chris Wallace with Mitch Weiss,Avid Reader/Simon & Schuster,1982143355,9.78198E+12,Paperback Nonfiction,7/4/2021,3,4,13
920,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,Vintage,679763880,9.78068E+12,Paperback Nonfiction,7/4/2021,75,4.5,4
921,THE SPY AND THE TRAITOR,Ben Macintyre,Broadway,1101904216,9.7811E+12,Paperback Nonfiction,7/4/2021,10,4,26
922,THE BODY,Bill Bryson,Anchor,804172722,9.7808E+12,Paperback Nonfiction,7/4/2021,12,4.5,3
923,HOOD FEMINISM,Mikki Kendall,Penguin,525560564,9.78053E+12,Paperback Nonfiction,7/4/2021,12,,
924,THE PLANT-BASED ATHLETE,Matt Frazier and Robert Cheeke with Rachel Holtzman,HarperOne,63042010,9.78006E+12,Advice How-To and Miscellaneous,7/4/2021,1,,
925,WHAT IS GOD LIKE?,Rachel Held Evans and Matthew Paul Turner.,Convergent,593193318,9.78059E+12,Picture Books,7/4/2021,1,,
926,THE BENCH,"Meghan, the Duchess of Sussex.",Random House,059343451X,9.78059E+12,Picture Books,7/4/2021,2,3.5,4
927,WE ARE WATER PROTECTORS,Carole Lindstrom.,Roaring Brook,1250203554,9.78125E+12,Picture Books,7/4/2021,20,4,7
928,EYES THAT KISS IN THE CORNERS,Joanna Ho.,HarperCollins,62915622,9.78006E+12,Picture Books,7/4/2021,13,4,5
929,THE LAST KIDS ON EARTH,Max Brallier.,Viking,593350065,9.78059E+12,Series Books,7/4/2021,72,4.5,4
930,FIVE NIGHTS AT FREDDY'S: FAZBEAR FRIGHTS,Scott Cawthon,Scholastic,1338703919,9.78134E+12,Series Books,7/4/2021,15,5,1
931,THE BOX IN THE WOODS,Maureen Johnson,Katherine Tegen,63032600,9.78006E+12,Young Adult Hardcover,7/4/2021,1,4.5,6
932,COSMIC QUERIES,Neil DeGrasse Tyson with James Trefil,National Geographic,1426221770,9.78143E+12,Young Adult Hardcover,7/4/2021,6,4.5,5
933,RULE OF WOLVES,Leigh Bardugo,Imprint,125014230X,9.78125E+12,Young Adult Hardcover,7/4/2021,12,4,11
934,21ST BIRTHDAY,James Patterson and Maxine Paetro,"Little, Brown",031649934X,9.78032E+12,Combined Print and E-Book Fiction,6/6/2021,3,3.5,4
935,WHILE JUSTICE SLEEPS,Stacey Abrams,Doubleday,385546572,9.78039E+12,Combined Print and E-Book Fiction,6/6/2021,2,3.5,28
936,THAT SUMMER,Jennifer Weiner,Atria,1501133543,9.7815E+12,Combined Print and E-Book Fiction,6/6/2021,2,,
937,THE PLOT,Jean Hanff Korelitz,Celadon,1250790743,9.78125E+12,Combined Print and E-Book Fiction,6/6/2021,1,3.5,51
938,THE SOULMATE EQUATION,Christina Lauren,Gallery,1982123974,9.78198E+12,Combined Print and E-Book Fiction,6/6/2021,1,4,17
939,ZERO FAIL,Carol Leonnig,Random House,399589015,9.7804E+12,Combined Print and E-Book Nonfiction,6/6/2021,1,4.5,6
940,NOISE,"Daniel Kahneman, Olivier Sibony and Cass R. Sunstein","Little, Brown Spark",316451401,9.78032E+12,Combined Print and E-Book Nonfiction,6/6/2021,1,3.5,9
941,YEARBOOK,Seth Rogen,Crown,1984825402,9.78198E+12,Combined Print and E-Book Nonfiction,6/6/2021,2,,
942,FACING THE MOUNTAIN,Daniel James Brown,Viking,525557407,9.78053E+12,Combined Print and E-Book Nonfiction,6/6/2021,2,4,9
943,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,385534256,9.78039E+12,Combined Print and E-Book Nonfiction,6/6/2021,70,,
944,THE HILL WE CLIMB,Amanda Gorman,Viking,059346527X,9.78059E+12,Hardcover Fiction,6/6/2021,8,5,5
945,THE DEVIL MAY DANCE,Jake Tapper,"Little, Brown",316530239,9.78032E+12,Hardcover Fiction,6/6/2021,2,2,1
946,THE PLOT,Jean Hanff Korelitz,Celadon,125079076X,9.78125E+12,Hardcover Fiction,6/6/2021,1,3.5,51
947,WHERE THE GRASS IS GREEN AND THE GIRLS ARE PRETTY,Lauren Weisberger,Random House,1984855565,9.78198E+12,Hardcover Fiction,6/6/2021,1,,
948,FINDING ASHLEY,Danielle Steel,Delacorte,1984821466,9.78198E+12,Hardcover Fiction,6/6/2021,4,3.5,3
949,BREAKING THE NEWS,Alex Marlow,Threshold Editions,1982160748,9.78198E+12,Hardcover Nonfiction,6/6/2021,1,,
950,BILLIE EILISH,Billie Eilish,Grand Central,1538720477,9.78154E+12,Hardcover Nonfiction,6/6/2021,2,,
951,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,62905082,9.78006E+12,Trade Fiction Paperback,6/6/2021,72,,
952,HAMNET,Maggie O'Farrell,Vintage,1984898876,9.78198E+12,Trade Fiction Paperback,6/6/2021,1,4,96
953,THE GIVER OF STARS,Jojo Moyes,Penguin,399562494,9.7804E+12,Trade Fiction Paperback,6/6/2021,3,4,65
954,THE WOMAN WITH THE BLUE STAR,Pam Jenoff,Park Row,778389383,9.78078E+12,Trade Fiction Paperback,6/6/2021,3,4,19
955,THE UNDERGROUND RAILROAD,Colson Whitehead,Anchor,059331476X,9.78059E+12,Trade Fiction Paperback,6/6/2021,12,4,2
956,THE ROSE CODE,Kate Quinn,Morrow,62943472,9.78006E+12,Trade Fiction Paperback,6/6/2021,11,4.5,48
957,NOMADLAND,Jessica Bruder,Norton,393356310,9.78039E+12,Paperback Nonfiction,6/6/2021,14,4,20
958,THE HUNDRED YEARS' WAR ON PALESTINE,Rashid Khalidi,Picador,1250787653,9.78125E+12,Paperback Nonfiction,6/6/2021,1,4,1
959,YOU WILL GET THROUGH THIS NIGHT,Daniel Howell,Dey St.,63053888,9.78006E+12,Advice How-To and Miscellaneous,6/6/2021,1,,
960,BEYOND ORDER,Jordan B. Peterson,Penguin/Portfolio,593084640,9.78059E+12,Advice How-To and Miscellaneous,6/6/2021,9,3,2
961,SHADY BABY,Gabrielle Union-Wade and Dwyane Wade Jr.,HarperCollins,63054035,9.78006E+12,Picture Books,6/6/2021,1,,
962,THE CIRCLES ALL AROUND US,Brad Montague.,Dial,593323181,9.78059E+12,Picture Books,6/6/2021,1,,
963,WHAT THE ROAD SAID,Cleo Wade.,Feiwel & Friends,1250269490,9.78125E+12,Picture Books,6/6/2021,6,,
964,FIVE NIGHTS AT FREDDY'S: FAZBEAR FRIGHTS,Scott Cawthon,Scholastic,1338739980,9.78134E+12,Series Books,6/6/2021,12,5,1
965,MISTER IMPOSSIBLE,Maggie Stiefvater,Scholastic,1338188364,9.78134E+12,Young Adult Hardcover,6/6/2021,1,4,4
966,TOKYO EVER AFTER,Emiko Jean,Flatiron,1250766605,9.78125E+12,Young Adult Hardcover,6/6/2021,1,3.5,7
967,CONCRETE ROSE,Angie Thomas,Balzer + Bray,006284671X,9.78006E+12,Young Adult Hardcover,6/6/2021,19,4,14
968,LOVER UNVEILED,J.R. Ward,Gallery,150119514X,9.7815E+12,Combined Print and E-Book Fiction,5/9/2021,1,4,1
969,THE GOOD SISTER,Sally Hepworth,St. Martin's,1250120977,9.78125E+12,Combined Print and E-Book Fiction,5/9/2021,2,4,37
970,THE BOOK OF LONGINGS,Sue Monk Kidd,Viking,698408195,9.7807E+12,Combined Print and E-Book Fiction,5/9/2021,4,4,20
971,LATER,Stephen King,Hard Case Crime,1789096499,9.78179E+12,Combined Print and E-Book Fiction,5/9/2021,8,4.5,2
972,WIN,Harlan Coben,Grand Central,1538748215,9.78154E+12,Combined Print and E-Book Fiction,5/9/2021,6,4,22
973,THE VANISHING HALF,Brit Bennett,Riverhead,525536299,9.78053E+12,Combined Print and E-Book Fiction,5/9/2021,42,,
974,"OUT OF MANY, ONE",George W. Bush,Crown,593136969,9.78059E+12,Combined Print and E-Book Nonfiction,5/9/2021,1,4,1
975,ON THE HOUSE,John Boehner,St. Martin's,1250238447,9.78125E+12,Combined Print and E-Book Nonfiction,5/9/2021,2,3,3
976,THE CODE BREAKER,Walter Isaacson,Simon & Schuster,1982115858,9.78198E+12,Combined Print and E-Book Nonfiction,5/9/2021,7,4,22
977,BLOOD AND TREASURE,Bob Drury and Tom Clavin,St. Martin's,1250247136,9.78125E+12,Combined Print and E-Book Nonfiction,5/9/2021,1,4,14
978,BROKEN HORSES,Brandi Carlile,Crown,593237242,9.78059E+12,Combined Print and E-Book Nonfiction,5/9/2021,3,4,4
979,MADAM SPEAKER,Susan Page,Twelve,1538750694,9.78154E+12,Combined Print and E-Book Nonfiction,5/9/2021,1,,
980,EMPIRE OF PAIN,Patrick Radden Keefe,Doubleday,385545681,9.78039E+12,Combined Print and E-Book Nonfiction,5/9/2021,2,4.5,22
981,BROKEN,Jenny Lawson,Holt,1250077036,9.78125E+12,Combined Print and E-Book Nonfiction,5/9/2021,3,4,20
982,"GOODBYE, AGAIN",Jonny Sun,Harper Perennial,62880853,9.78006E+12,Combined Print and E-Book Nonfiction,5/9/2021,1,4.5,4
983,KLARA AND THE SUN,Kazuo Ishiguro,Knopf,059331817X,9.78059E+12,Hardcover Fiction,5/9/2021,8,,
984,LOVER UNVEILED,J.R. Ward,Gallery,1501195123,9.7815E+12,Hardcover Fiction,5/9/2021,1,4,1
985,THE RED BOOK,James Patterson and David Ellis,"Little, Brown",316499404,9.78032E+12,Hardcover Fiction,5/9/2021,4,4,2
986,THE GOOD SISTER,Sally Hepworth,St. Martin's,1250120950,9.78125E+12,Hardcover Fiction,5/9/2021,2,4,37
987,THE MAN WHO LIVED UNDERGROUND,Richard Wright,Library of America,1598536761,9.7816E+12,Hardcover Fiction,5/9/2021,1,,
988,THE LOST APOTHECARY,Sarah Penner,Park Row,778311015,9.78078E+12,Hardcover Fiction,5/9/2021,7,3.5,66
989,GOOD COMPANY,Cynthia D'Aprix Sweeney,Ecco,62876007,9.78006E+12,Hardcover Fiction,5/9/2021,3,3.5,8
990,"F*CK IT, I'LL START TOMORROW",Action Bronson as told to Rachel Wharton,Abrams Image,141974478X,9.78142E+12,Hardcover Nonfiction,5/9/2021,1,,
991,BIG SUMMER,Jennifer Weiner,Washington Square,1501133527,9.7815E+12,Trade Fiction Paperback,5/9/2021,2,,
992,UNDER THE SOUTHERN SKY,Kristy Woodson Harvey,Gallery,1982117729,9.78198E+12,Trade Fiction Paperback,5/9/2021,1,4.5,9
993,SUCH A FUN AGE,Kiley Reid,Putnam,525541918,9.78053E+12,Trade Fiction Paperback,5/9/2021,1,3.5,70
994,IN FIVE YEARS,Rebecca Serle,Atria,1982137452,9.78198E+12,Trade Fiction Paperback,5/9/2021,8,3.5,29
995,THE HENNA ARTIST,Alka Joshi,MIRA,778331474,9.78078E+12,Trade Fiction Paperback,5/9/2021,2,4,39
996,THEN SHE WAS GONE,Lisa Jewell,Atria,1501154656,9.7815E+12,Trade Fiction Paperback,5/9/2021,91,4,83
997,LEAVING ISN'T THE HARDEST THING,Lauren Hough,Vintage,593080769,9.78059E+12,Paperback Nonfiction,5/9/2021,2,4.5,6
998,MINOR FEELINGS,Cathy Park Hong,One World,1984820389,9.78198E+12,Paperback Nonfiction,5/9/2021,6,4,9
999,HIDDEN VALLEY ROAD,Robert Kolker,Anchor,525562648,9.78053E+12,Paperback Nonfiction,5/9/2021,7,4,43
1000,COOK THIS BOOK,Molly Baz,Clarkson Potter,593138279,9.78059E+12,Advice How-To and Miscellaneous,5/9/2021,1,5,2
1001,VEGETABLE SIMPLE,Eric Ripert,Random House,593132483,9.78059E+12,Advice How-To and Miscellaneous,5/9/2021,1,4,1
1002,DON'T DROP THE MIC,T.D. Jakes,FaithWords,1455595357,9.78146E+12,Advice How-To and Miscellaneous,5/9/2021,1,,
1003,UNWINDING ANXIETY,Judson Brewer,Avery,593330447,9.78059E+12,Advice How-To and Miscellaneous,5/9/2021,2,3,4
1004,"COOK, EAT, REPEAT",Nigella Lawson,Ecco,63079542,9.78006E+12,Advice How-To and Miscellaneous,5/9/2021,1,,
1005,THE WORLD NEEDS MORE PURPLE PEOPLE,Kristen Bell and Benjamin Hart.,Random House,593121961,9.78059E+12,Picture Books,5/9/2021,21,3,1
1006,ITTY-BITTY KITTY-CORN,Shannon Hale.,Abrams,1419750917,9.78142E+12,Picture Books,5/9/2021,4,5,3
1007,THE WORLD NEEDS WHO YOU WERE MADE TO BE,Joanna Gaines.,Thomas Nelson,1400314232,9.7814E+12,Picture Books,5/9/2021,16,,
1008,CHAIN OF IRON,Cassandra Clare,Margaret K. McElderry,1481431900,9.78148E+12,Young Adult Hardcover,5/9/2021,8,5,1
1009,HOUSE OF HOLLOW,Krystal Sutherland,Putnam,059311034X,9.78059E+12,Young Adult Hardcover,5/9/2021,1,4,7
1010,THE CONSEQUENCES OF FEAR,Jacqueline Winspear,Harper,62868039,9.78006E+12,Combined Print and E-Book Fiction,4/11/2021,1,4,11
1011,DOUBLE JEOPARDY,Stuart Woods,Putnam,593188403,9.78059E+12,Combined Print and E-Book Fiction,4/11/2021,1,4,2
1012,ETERNAL,Lisa Scottoline,Putnam,052553976X,9.78053E+12,Combined Print and E-Book Fiction,4/11/2021,1,3.5,11
1013,LIFE AFTER DEATH,Sister Souljah,Atria/Emily Bestler,1982139137,9.78198E+12,Combined Print and E-Book Fiction,4/11/2021,4,,
1014,THE DUKE AND I,Julia Quinn,Avon,63078902,9.78006E+12,Combined Print and E-Book Fiction,4/11/2021,13,,
1015,WE BEGIN AT THE END,Chris Whitaker,Holt,1250759668,9.78125E+12,Combined Print and E-Book Fiction,4/11/2021,3,4,32
1016,A PROMISED LAND,Barack Obama,Crown,1524763160,9.78152E+12,Combined Print and E-Book Nonfiction,4/11/2021,19,4.5,56
1017,HOW TO AVOID A CLIMATE DISASTER,Bill Gates,Knopf,385546130,9.78039E+12,Combined Print and E-Book Nonfiction,4/11/2021,6,4,9
1018,JUST AS I AM,Cicely Tyson with Michelle Burford,HarperCollins,62931067,9.78006E+12,Combined Print and E-Book Nonfiction,4/11/2021,9,4.5,5
1019,THE SUM OF US,Heather McGhee,One World,525509569,9.78053E+12,Combined Print and E-Book Nonfiction,4/11/2021,6,4.5,7
1020,REMEMBER,Lisa Genova,Harmony,593137957,9.78059E+12,Combined Print and E-Book Nonfiction,4/11/2021,1,4,8
1021,THIS IS THE FIRE,Don Lemon,"Little, Brown",316257575,9.78032E+12,Combined Print and E-Book Nonfiction,4/11/2021,2,5,1
1022,THE CONSEQUENCES OF FEAR,Jacqueline Winspear,Harper,62868020,9.78006E+12,Hardcover Fiction,4/11/2021,1,4,11
1023,THE BOUNTY,Janet Evanovich and Steve Hamilton,Atria,1982157135,9.78198E+12,Hardcover Fiction,4/11/2021,1,,
1024,DARK SKY,C.J. Box,Putnam,525538275,9.78053E+12,Hardcover Fiction,4/11/2021,4,4.5,4
1025,DOUBLE JEOPARDY,Stuart Woods,Putnam,593188381,9.78059E+12,Hardcover Fiction,4/11/2021,1,4,2
1026,"HUNT, GATHER, PARENT",Michaeleen Doucleff,Avid Reader/Simon & Schuster,1982149671,9.78198E+12,Hardcover Nonfiction,4/11/2021,4,,
1027,BREATH,James Nestor,Riverhead,735213615,9.78074E+12,Hardcover Nonfiction,4/11/2021,18,4,16
1028,HOW TO BE AN ANTIRACIST,Ibram X. Kendi,One World,525509283,9.78053E+12,Hardcover Nonfiction,4/11/2021,46,4,29
1029,UNCOMFORTABLE CONVERSATIONS WITH A BLACK MAN,Emmanuel Acho,Flatiron,1250800463,9.78125E+12,Hardcover Nonfiction,4/11/2021,11,4.5,3
1030,FIREFLY LANE,Kristin Hannah,St. Martin’s Griffin,312537077,9.78031E+12,Trade Fiction Paperback,4/11/2021,41,3.5,253
1031,THE COLDEST WINTER EVER,Sister Souljah,Atria/Emily Bestler,074327010X,9.78074E+12,Trade Fiction Paperback,4/11/2021,4,,
1032,CAMINO WINDS,John Grisham,Bantam,593157788,9.78059E+12,Trade Fiction Paperback,4/11/2021,4,3.5,23
1033,SPLIT SECOND,David Baldacci,Grand Central,1538720043,9.78154E+12,Trade Fiction Paperback,4/11/2021,3,5,1
1034,THE PALM BEACH MURDERS,James Patterson,Grand Central,153874998X,9.78154E+12,Trade Fiction Paperback,4/11/2021,1,,
1035,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,Seal,1580058825,9.78158E+12,Paperback Nonfiction,4/11/2021,34,3,2
1036,"EAT BETTER, FEEL BETTER",Giada De Laurentiis,Rodale,593138430,9.78059E+12,Advice How-To and Miscellaneous,4/11/2021,2,,
1037,EVERYTHING WILL BE OKAY,Dana Perino,Twelve,1538737086,9.78154E+12,Advice How-To and Miscellaneous,4/11/2021,3,,
1038,"DUSK, NIGHT, DAWN",Anne Lamott,Riverhead,593189698,9.78059E+12,Advice How-To and Miscellaneous,4/11/2021,3,4,4
1039,KEEP SHARP,Sanjay Gupta with Kristin Loberg,Simon & Schuster,1501166735,9.7815E+12,Advice How-To and Miscellaneous,4/11/2021,12,4,10
1040,"SET BOUNDARIES, FIND PEACE",Nedra Glover Tawwab,TarcherPerigee,593192095,9.78059E+12,Advice How-To and Miscellaneous,4/11/2021,2,,
1041,PETE THE CAT: FIVE LITTLE BUNNIES,James Dean and Kimberly Dean,HarperCollins,62868292,9.78006E+12,Picture Books,4/11/2021,4,,
1042,MY LITTLE BRAVE GIRL,Hilary Duff.,Random House,593300726,9.78059E+12,Picture Books,4/11/2021,1,,
1043,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,593384482,9.78059E+12,Series Books,4/11/2021,115,,
1044,MINECRAFT OFFICIAL NOVELS,Max Brooks et al,Del Rey,593159152,9.78059E+12,Series Books,4/11/2021,2,,
1045,LOST IN THE NEVER WOODS,Aiden Thomas,Swoon Reads,125031397X,9.78125E+12,Young Adult Hardcover,4/11/2021,1,,
1046,THE COUSINS,Karen M. McManus,Delacorte,525708006,9.78053E+12,Young Adult Hardcover,4/11/2021,17,4,12
1047,THE KAISER'S WEB,Steve Berry,Minotaur,1250140358,9.78125E+12,Combined Print and E-Book Fiction,3/14/2021,1,4,4
1048,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,168119628X,9.78168E+12,Combined Print and E-Book Fiction,3/14/2021,2,4,16
1049,KINGDOM OF SHADOW AND LIGHT,Karen Marie Moning,Delacorte,399593705,9.7804E+12,Combined Print and E-Book Fiction,3/14/2021,1,3.5,5
1050,THE VISCOUNT WHO LOVED ME,Julia Quinn,Avon,62353640,9.78006E+12,Combined Print and E-Book Fiction,3/14/2021,9,,
1051,THE SANATORIUM,Sarah Pearse,Pamela Dorman,593296672,9.78059E+12,Combined Print and E-Book Fiction,3/14/2021,4,,
1052,AN OFFER FROM A GENTLEMAN,Julia Quinn,Avon,62353659,9.78006E+12,Combined Print and E-Book Fiction,3/14/2021,3,,
1053,FAITHLESS IN DEATH,J.D. Robb,St. Martin's,1250272742,9.78125E+12,Combined Print and E-Book Fiction,3/14/2021,3,,
1054,WALK IN MY COMBAT BOOTS,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",316429090,9.78032E+12,Combined Print and E-Book Nonfiction,3/14/2021,3,5,1
1055,FOUR HUNDRED SOULS,edited  Ibram X. Kendi and Keisha N. Blain,One World,593134044,9.78059E+12,Combined Print and E-Book Nonfiction,3/14/2021,4,,
1056,BETWEEN TWO KINGDOMS,Suleika Jaouad,Random House,399588582,9.7804E+12,Combined Print and E-Book Nonfiction,3/14/2021,3,4,12
1057,THE DAUGHTERS OF KOBANI,Gayle Tzemach Lemmon,Penguin Press,525560688,9.78053E+12,Combined Print and E-Book Nonfiction,3/14/2021,2,,
1058,THE KAISER'S WEB,Steve Berry,Minotaur,125014034X,9.78125E+12,Hardcover Fiction,3/14/2021,1,4,4
1059,THE RUSSIAN,James Patterson and James O. Born,"Little, Brown",316420387,9.78032E+12,Hardcover Fiction,3/14/2021,5,3.5,4
1060,TRIPLE CHOCOLATE CHEESECAKE MURDER,Joanne Fluke,Kensington,1496718925,9.7815E+12,Hardcover Fiction,3/14/2021,1,,
1061,KINGDOM OF SHADOW AND LIGHT,Karen Marie Moning,Delacorte,399593691,9.7804E+12,Hardcover Fiction,3/14/2021,1,3.5,5
1062,THE PARIS LIBRARY,Janet Skeslien Charles,Atria,1982134194,9.78198E+12,Hardcover Fiction,3/14/2021,3,,
1063,THE RETURN,Nicholas Sparks,Grand Central,1538728575,9.78154E+12,Hardcover Fiction,3/14/2021,22,,
1064,ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9.7815E+12,Hardcover Fiction,3/14/2021,24,,
1065,BECOMING,Michelle Obama,Crown,1524763136,9.78152E+12,Hardcover Nonfiction,3/14/2021,107,4.5,127
1066,A SWIM IN A POND IN THE RAIN,George Saunders,Random House,1984856022,9.78198E+12,Hardcover Nonfiction,3/14/2021,5,,
1067,FAIR WARNING,Michael Connelly,Grand Central,1538736330,9.78154E+12,Trade Fiction Paperback,3/14/2021,4,,
1068,THE 20TH VICTIM,James Patterson and Maxine Paetro,Grand Central,1538715465,9.78154E+12,Trade Fiction Paperback,3/14/2021,2,3,3
1069,28 SUMMERS,Elin Hilderbrand,Back Bay,316428647,9.78032E+12,Trade Fiction Paperback,3/14/2021,3,4,23
1070,THE GIRL FROM THE CHANNEL ISLANDS,Jenny Lecoat,Graydon House,1525806416,9.78153E+12,Trade Fiction Paperback,3/14/2021,4,4,10
1071,FLY AWAY,Kristin Hannah,St. Martin's Griffin,1250031818,9.78125E+12,Trade Fiction Paperback,3/14/2021,3,3.5,38
1072,PARABLE OF THE SOWER,Octavia E. Butler,Grand Central,1538732181,9.78154E+12,Trade Fiction Paperback,3/14/2021,2,4,99
1073,EIGHT PERFECT MURDERS,Peter Swanson,Morrow,62838199,9.78006E+12,Trade Fiction Paperback,3/14/2021,4,4,46
1074,WE DO THIS 'TIL WE FREE US,Mariame Kaba,Haymarket,164259525X,9.78164E+12,Paperback Nonfiction,3/14/2021,1,3,3
1075,THE COLOR OF LAW,Richard Rothstein,Liveright,1631494538,9.78163E+12,Paperback Nonfiction,3/14/2021,42,4,20
1076,THE NEW JIM CROW,Michelle Alexander,New Press,1620971933,9.78162E+12,Paperback Nonfiction,3/14/2021,223,4.5,54
1077,BELIEVE IT,Jamie Kern Lima,Gallery,1982157801,9.78198E+12,Advice How-To and Miscellaneous,3/14/2021,1,,
1078,THE PEGAN DIET,Mark Hyman,"Little, Brown Spark",031653708X,9.78032E+12,Advice How-To and Miscellaneous,3/14/2021,1,,
1079,INTUITIVE FASTING,Will Cole,Rodale,059323233X,9.78059E+12,Advice How-To and Miscellaneous,3/14/2021,1,,
1080,SULWE,Lupita Nyong'o.,Simon & Schuster,1534425365,9.78153E+12,Picture Books,3/14/2021,15,4,4
1081,AMBITIOUS GIRL,Meena Harris.,"Little, Brown",316229695,9.78032E+12,Picture Books,3/14/2021,6,,
1082,MILO IMAGINES THE WORLD,Matt de la Peña.,Putnam,399549080,9.7804E+12,Picture Books,3/14/2021,2,4,1
1083,MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs,Quirk/Penguin,735231532,9.78074E+12,Series Books,3/14/2021,112,3.5,3896
1084,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,448455854,9.78045E+12,Series Books,3/14/2021,111,,
1085,THE LAST KIDS ON EARTH,Max Brallier.,Viking,1984835343,9.78198E+12,Series Books,3/14/2021,61,4.5,4
1086,STAR WARS: INTO THE DARK,Claudia Gray,Disney Lucasfilm,1368057284,9.78137E+12,Young Adult Hardcover,3/14/2021,4,3.5,2
1087,THE GILDED ONES,Namina Forna,Delacorte,1984848690,9.78198E+12,Young Adult Hardcover,3/14/2021,3,,
1088,LEGENDBORN,Tracy Deonn,Margaret K. McElderry,1534441603,9.78153E+12,Young Adult Hardcover,3/14/2021,6,,
1089,THE RUSSIAN,James Patterson and James O. Born,"Little, Brown",316430242,9.78032E+12,Combined Print and E-Book Fiction,2/14/2021,1,3.5,4
1090,AN OFFER FROM A GENTLEMAN,Julia Quinn,Avon,62424084,9.78006E+12,Combined Print and E-Book Fiction,2/14/2021,1,4,45
1091,THE PUSH,Ashley Audrain,Pamela Dorman,1984881663,9.78198E+12,Combined Print and E-Book Fiction,2/14/2021,2,4,29
1092,ROMANCING MISTER BRIDGERTON,Julia Quinn,Avon,62424106,9.78006E+12,Combined Print and E-Book Fiction,2/14/2021,4,3.5,55
1093,HIGHLAND TREASURE,Lynsay Sands,Avon,62855409,9.78006E+12,Combined Print and E-Book Fiction,2/14/2021,1,4.5,2
1094,PRODIGAL SON,Gregg Hurwitz,Minotaur,1250252296,9.78125E+12,Combined Print and E-Book Fiction,2/14/2021,1,4,9
1095,WHEN HE WAS WICKED,Julia Quinn,Avon,62424130,9.78006E+12,Combined Print and E-Book Fiction,2/14/2021,1,3.5,43
1096,EXTRATERRESTRIAL,Avi Loeb,Houghton Mifflin Harcourt,358278147,9.78036E+12,Combined Print and E-Book Nonfiction,2/14/2021,1,4,6
1097,LET ME TELL YOU WHAT I MEAN,Joan Didion,Knopf,059331848X,9.78059E+12,Combined Print and E-Book Nonfiction,2/14/2021,1,4.5,3
1098,THE DEVIL YOU KNOW,Charles M Blow,Harper,62914669,9.78006E+12,Combined Print and E-Book Nonfiction,2/14/2021,1,,
1099,AMERICAN KOMPROMAT,Craig Unger,Dutton,593182537,9.78059E+12,Combined Print and E-Book Nonfiction,2/14/2021,1,3.5,3
1100,NEIGHBORS,Danielle Steel,Delacorte,1984821377,9.78198E+12,Hardcover Fiction,2/14/2021,4,4,7
1101,READY PLAYER TWO,Ernest Cline,Ballantine,1524761338,9.78152E+12,Hardcover Fiction,2/14/2021,10,,
1102,A TIME FOR MERCY,John Grisham,Doubleday,385545967,9.78039E+12,Hardcover Fiction,2/14/2021,16,,
1103,BEFORE SHE DISAPPEARED,Lisa Gardner,Dutton,1524745049,9.78152E+12,Hardcover Fiction,2/14/2021,2,,
1104,THE GUEST LIST,Lucy Foley,Morrow,62868934,9.78006E+12,Hardcover Fiction,2/14/2021,24,3.5,73
1105,AMERICAN DIRT,Jeanine Cummins,Flatiron,1250209765,9.78125E+12,Hardcover Fiction,2/14/2021,35,4,93
1106,STAR WARS: LIGHT OF THE JEDI,Charles Soule,Del Rey,593157710,9.78059E+12,Hardcover Fiction,2/14/2021,4,,
1107,GIRL WITH NO JOB,Claudia Oshry,Gallery,1982142863,9.78198E+12,Hardcover Nonfiction,2/14/2021,1,,
1108,WINTERING,Katherine May,Riverhead,593189485,9.78059E+12,Hardcover Nonfiction,2/14/2021,4,,
1109,THE DUTCH HOUSE,Ann Patchett,Harper Perennial,62963686,9.78006E+12,Trade Fiction Paperback,2/14/2021,4,,
1110,NEWS OF THE WORLD,Paulette Jiles,Morrow,63011956,9.78006E+12,Trade Fiction Paperback,2/14/2021,4,4,122
1111,BLINDSIDE,James Patterson and James O. Born,Grand Central,1538764393,9.78154E+12,Trade Fiction Paperback,2/14/2021,2,4,1
1112,THE LAST TRIAL,Scott Turow,Grand Central,1538748096,9.78154E+12,Trade Fiction Paperback,2/14/2021,1,,
1113,THE TRUTHS WE HOLD,Kamala Harris,Penguin,525560734,9.78053E+12,Paperback Nonfiction,2/14/2021,17,4,13
