,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
43,THE FOUR WINDS,Kristin Hannah,St. Martin's Griffin,1250178614,9.78125E+12,Trade Fiction Paperback,4/9/2023,2,4,83
44,UGLY LOVE,Colleen Hoover,Atria,1476753180,9.78148E+12,Trade Fiction Paperback,4/9/2023,87,4,38
45,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,194563183X,9.78195E+12,Trade Fiction Paperback,4/9/2023,25,5,1
46,THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,172827611X,9.78173E+12,Trade Fiction Paperback,4/9/2023,5,,
47,THE PARIS APARTMENT,Lucy Foley,Morrow,63003066,9.78006E+12,Trade Fiction Paperback,4/9/2023,5,3.5,26
48,THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9.78125E+12,Trade Fiction Paperback,4/9/2023,84,3.5,152
49,ONE ITALIAN SUMMER,Rebecca Serle,Atria,1982166800,9.78198E+12,Trade Fiction Paperback,4/9/2023,2,3.5,10
50,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",374533555,9.78037E+12,Paperback Nonfiction,4/9/2023,355,4,3971
51,THE ANTHROPOCENE REVIEWED,John Green,Dutton,525555242,9.78053E+12,Paperback Nonfiction,4/9/2023,1,4,18
52,CASTE,Isabel Wilkerson,Random House,593230272,9.78059E+12,Paperback Nonfiction,4/9/2023,6,,
53,EVICTED,Matthew Desmond,Broadway,553447459,9.78055E+12,Paperback Nonfiction,4/9/2023,43,4.5,108
54,EDUCATED,Tara Westover,Random House,399590528,9.7804E+12,Paperback Nonfiction,4/9/2023,45,4,205
55,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,316299227,9.78032E+12,Paperback Nonfiction,4/9/2023,78,4,46
56,SOUTH TO AMERICA,Imani Perry,Ecco,62977377,9.78006E+12,Paperback Nonfiction,4/9/2023,4,3.5,4
57,THE NINETIES,Chuck Klosterman,Penguin,735217963,9.78074E+12,Paperback Nonfiction,4/9/2023,8,4,12
58,GRIT,Angela Duckworth,Scribner,1501111116,9.7815E+12,Paperback Nonfiction,4/9/2023,140,3.5,18
59,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,62968793,9.78006E+12,Paperback Nonfiction,4/9/2023,1,4,3
60,KILLERS OF THE FLOWER MOON,David Grann,Vintage,307742482,9.78031E+12,Paperback Nonfiction,4/9/2023,108,,
61,DOPAMINE NATION,Anna Lembke,Dutton,1524746746,9.78152E+12,Paperback Nonfiction,4/9/2023,8,2.5,2
62,ATOMIC HABITS,James Clear,Avery,735211299,9.78074E+12,Advice How-To and Miscellaneous,4/9/2023,174,4,8
63,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,593652886,9.78059E+12,Advice How-To and Miscellaneous,4/9/2023,10,,
64,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,62976583,9.78006E+12,Advice How-To and Miscellaneous,4/9/2023,173,,
65,YOUNG FOREVER,Mark Hyman,"Little, Brown Spark",316453188,9.78032E+12,Advice How-To and Miscellaneous,4/9/2023,5,,
66,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,62457713,9.78006E+12,Advice How-To and Miscellaneous,4/9/2023,291,4,16
67,8 RULES OF LOVE,Jay Shetty,Simon & Schuster,1982183063,9.78198E+12,Advice How-To and Miscellaneous,4/9/2023,8,,
68,ATLAS OF THE HEART,Brené Brown,Random House,399592555,9.7804E+12,Advice How-To and Miscellaneous,4/9/2023,56,4.5,2
69,EAT TO BEAT YOUR DIET,William W. Li,Balance,1538753901,9.78154E+12,Advice How-To and Miscellaneous,4/9/2023,1,5,2
70,CAN'T HURT ME,David Goggins,Lioncrest,1544512279,9.78154E+12,Advice How-To and Miscellaneous,4/9/2023,36,,
71,DARE TO LEAD,Brené Brown,Random House,399592520,9.7804E+12,Advice How-To and Miscellaneous,4/9/2023,72,3.5,9
72,HOW TO CATCH THE EASTER BUNNY,Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,149263817X,9.78149E+12,Picture Books,4/9/2023,22,4,1
73,LITTLE DAYMOND LEARNS TO EARN,Daymond John.,Random House,593567277,9.78059E+12,Picture Books,4/9/2023,1,,
74,PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean,HarperFestival,006219867X,9.78006E+12,Picture Books,4/9/2023,40,5,3
