Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
THE FRIDAY NIGHT KNITTING CLUB,Kate Jacobs,Berkley,Penguin Random House,9.78043E+12,Trade Fiction Paperback,1/18/09,46
THE APPEAL,John Grisham,Delta,,9.78039E+12,Trade Fiction Paperback,1/18/09,7
THE ALCHEMIST,Paulo Coelho,HarperOne,HarperCollins,9.78006E+12,Trade Fiction Paperback,1/18/09,69
Halo: THE COLE PROTOCOL,Tobias S Buckell,Doherty,,9.78077E+12,Trade Fiction Paperback,1/18/09,6
THE KITE RUNNER,Khaled Hosseini,Riverhead,Penguin Random House,9.78159E+12,Trade Fiction Paperback,1/18/09,69
WATER FOR ELEPHANTS,Sara Gruen,Algonquin,Algonquin Books,9.78157E+12,Trade Fiction Paperback,1/18/09,70
REMEMBER ME?,Sophie Kinsella,Dial,Penguin Random House,9.78039E+12,Trade Fiction Paperback,1/18/09,9
THE CHOICE,Nicholas Sparks,Grand Central,Grand Central,9.78045E+12,Trade Fiction Paperback,1/18/09,18
IN THE WOODS,Tana French,Penguin,Penguin Random House,9.78067E+12,Trade Fiction Paperback,1/18/09,21
CONFESSIONS OF A SHOPAHOLIC,Sophie Kinsella,Dial,Penguin Random House,9.78044E+12,Trade Fiction Paperback,1/18/09,1
THE MEMORY KEEPER’S DAUGHTER,Kim Edwards,Penguin,Penguin Random House,9.78014E+12,Trade Fiction Paperback,1/18/09,54
THE WHITE TIGER,Aravind Adiga,Free Press,Simon & Schuster,9.78142E+12,Trade Fiction Paperback,1/18/09,12
MARLEY AND ME,John Grogan,Harper,HarperCollins,9.78006E+12,Paperback Nonfiction,1/18/09,43
DREAMS FROM MY FATHER,Barack Obama,Three Rivers,Penguin Random House,9.7814E+12,Paperback Nonfiction,1/18/09,129
THE AUDACITY OF HOPE,Barack Obama,Three Rivers,,9.78031E+12,Paperback Nonfiction,1/18/09,54
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,Penguin,Penguin Random House,9.78014E+12,Paperback Nonfiction,1/18/09,101
TEAM OF RIVALS,Doris Kearns Goodwin,Simon & Schuster,Simon & Schuster,9.78074E+12,Paperback Nonfiction,1/18/09,23
"EAT, PRAY, LOVE",Elizabeth Gilbert,Penguin,Penguin Random House,9.78014E+12,Paperback Nonfiction,1/18/09,102
BLINK,Malcolm Gladwell,"Back Bay/Little, Brown",Hachette Book,9.78032E+12,Paperback Nonfiction,1/18/09,64
I HOPE THEY SERVE BEER IN HELL,Tucker Max,Citadel/Kensington,Kensington Publishing Corp.,9.78081E+12,Paperback Nonfiction,1/18/09,66
90 MINUTES IN HEAVEN,Don Piper with Cecil Murphey,Revell,,9.7808E+12,Paperback Nonfiction,1/18/09,115
TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",Hachette Book,9.78032E+12,Paperback Nonfiction,1/18/09,222
SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,Nelson,,9.78085E+12,Paperback Nonfiction,1/18/09,12
THE OMNIVORE’S DILEMMA,Michael Pollan,Penguin,Penguin Random House,9.78014E+12,Paperback Nonfiction,1/18/09,68
THE MIDDLE PLACE,Kelly Corrigan,Voice,,9.7814E+12,Paperback Nonfiction,1/18/09,2
"ANIMAL, VEGETABLE, MIRACLE",Barbara Kingsolver and Camille Kingsolver,Harper Perennial,HarperCollins,9.78006E+12,Paperback Nonfiction,1/18/09,34
MUSICOPHILIA,Oliver Sacks,Vintage,Penguin Random House,9.7814E+12,Paperback Nonfiction,1/18/09,14
THE ZOOKEEPER’S WIFE,Diane Ackerman,Norton,Norton,9.78039E+12,Paperback Nonfiction,1/18/09,13
THE BIBLE,Karen Armstrong,Grove,Grove,9.7808E+12,Paperback Nonfiction,1/18/09,1
MY HORIZONTAL LIFE,Chelsea Handler,Bloomsbury,Bloomsbury Publishing,9.78158E+12,Paperback Nonfiction,1/18/09,12
CHANGE WE CAN BELIEVE IN,with a foreword  Barack Obama,Three Rivers,Penguin Random House,9.78031E+12,Paperback Nonfiction,1/18/09,10
THE SHOCK DOCTRINE,Naomi Klein,Picador,Holtzbrinck Publishing Group/Macmillan,9.78081E+12,Paperback Nonfiction,1/18/09,13
GALLOP!,Rufus Butler Seder,Workman,Hachette Book,9.78076E+12,Picture Books,1/18/09,60
THE NIGHT BEFORE CHRISTMAS,Clement C Moore Various illustrators,Various publishers,Other,9.78082E+12,Picture Books,1/18/09,21
A VERY MARLEY CHRISTMAS,John Grogan,HarperCollins,HarperCollins,9.78006E+12,Picture Books,1/18/09,7
BIG WORDS FOR LITTLE PEOPLE,Jamie Lee Curtis,Joanna Cotler/HarperCollins,,9.78006E+12,Picture Books,1/18/09,17
ABC3D,Marion Bataille,Neal Porter/Roaring Brook,,9.7816E+12,Picture Books,1/18/09,12
SWING!,Rufus Butler Seder,Workman,Hachette Book,9.78076E+12,Picture Books,1/18/09,12
"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE",Nikki Grimes,Simon & Schuster,Simon & Schuster,9.78142E+12,Picture Books,1/18/09,12
BEE AND ME,Elle J McGuinness,"Accord/Andrews McMeel,",,9.78074E+12,Picture Books,1/18/09,1
TEN LITTLE FINGERS AND TEN LITTLE TOES,Mem Fox,Harcourt,,9.78015E+12,Picture Books,1/18/09,11
